Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-122/used,emr-worker-123/used,emr-worker-124/used,emr-worker-125/used,emr-worker-126/used,emr-worker-127/used,emr-worker-128/used,emr-worker-129/used,emr-worker-130/used,emr-worker-131/used,emr-worker-132/used,emr-worker-133/used,emr-worker-134/used,emr-worker-135/used,emr-worker-136/used,emr-worker-137/used,emr-worker-138/used,emr-worker-139/used,emr-worker-140/used,emr-worker-141/used,emr-worker-142/used,emr-worker-143/used,emr-worker-144/used,emr-worker-145/used,emr-worker-146/used,emr-worker-147/used,emr-worker-148/used,emr-worker-149/used,emr-worker-150/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
22:00:00,13964824576.00 ,20479619072.00 ,13612998656.00 ,14478106624.00 ,13718061056.00 ,19062738944.00 ,14786465792.00 ,19111092224.00 ,14192889856.00 ,14688182272.00 ,20457934848.00 ,20434870272.00 ,19995840512.00 ,20246667264.00 ,20295073792.00 ,20537200640.00 ,20664020992.00 ,21131685888.00 ,14382424064.00 ,14654799872.00 ,14935805952.00 ,20726358016.00 ,20429910016.00 ,20295061504.00 ,20822581248.00 ,20617146368.00 ,15017156608.00 ,14503628800.00 ,20065107968.00 ,14405881856.00 ,19031363584.00 ,14263599104.00 ,20383666176.00 ,20371927040.00 ,20094205952.00 ,19119661056.00 ,19920633856.00 ,20909121536.00 ,20496494592.00 ,20541059072.00 ,20114759680.00 ,20772687872.00 ,14643765248.00 ,20781305856.00 ,20626046976.00 ,14450130944.00 ,20827348992.00 ,20952772608.00 ,20379181056.00 ,14662144000.00 ,14364114944.00 ,14255108096.00 ,13941764096.00 ,19528536064.00 ,19535380480.00 ,13609500672.00 ,13897150464.00 ,20191068160.00 ,20346372096.00 ,20068122624.00 ,20414963712.00 ,20192206848.00 ,19969130496.00 ,19298951168.00 ,14132043776.00 ,14115307520.00 ,19627270144.00 ,19833536512.00 ,20132204544.00 ,19579248640.00 ,14111420416.00 ,19699568640.00 ,20386603008.00 ,14043164672.00 ,20444798976.00 ,,1361773547520.00 
22:00:15,14757990400.00 ,23075897344.00 ,14841643008.00 ,15981633536.00 ,15055626240.00 ,20525699072.00 ,16496488448.00 ,21075111936.00 ,16016056320.00 ,16396009472.00 ,23293538304.00 ,22784143360.00 ,22755635200.00 ,23302627328.00 ,23296942080.00 ,23165399040.00 ,23249203200.00 ,24148357120.00 ,16161529856.00 ,16325406720.00 ,16740864000.00 ,23187832832.00 ,23234830336.00 ,22978256896.00 ,24072617984.00 ,23329878016.00 ,16878067712.00 ,16233803776.00 ,22709121024.00 ,16151810048.00 ,20972261376.00 ,16018284544.00 ,22941093888.00 ,22972014592.00 ,22889701376.00 ,20805906432.00 ,22774398976.00 ,23656677376.00 ,22998634496.00 ,23426936832.00 ,22998020096.00 ,24041160704.00 ,16047759360.00 ,23345303552.00 ,23175389184.00 ,16270729216.00 ,23427080192.00 ,23619727360.00 ,22836486144.00 ,16636592128.00 ,16338771968.00 ,15930044416.00 ,15732256768.00 ,21887586304.00 ,22117867520.00 ,15429775360.00 ,15585792000.00 ,22500380672.00 ,22999691264.00 ,23010557952.00 ,23439470592.00 ,22785224704.00 ,22239358976.00 ,22202486784.00 ,15691796480.00 ,15720349696.00 ,22115889152.00 ,21637873664.00 ,22412288000.00 ,21530083328.00 ,15696842752.00 ,22048747520.00 ,23023169536.00 ,15753269248.00 ,22861778944.00 ,,1530767532032.00 
22:00:30,15865749504.00 ,23075897344.00 ,16876904448.00 ,18092691456.00 ,17006034944.00 ,26249211904.00 ,18462969856.00 ,23904456704.00 ,17901068288.00 ,18413338624.00 ,26861146112.00 ,26131005440.00 ,26068209664.00 ,26321969152.00 ,26820710400.00 ,26358599680.00 ,26625597440.00 ,27699978240.00 ,18250825728.00 ,18805202944.00 ,18880753664.00 ,26542063616.00 ,26750509056.00 ,26054692864.00 ,27477209088.00 ,27235274752.00 ,18878783488.00 ,18324504576.00 ,25909186560.00 ,18169274368.00 ,23869857792.00 ,18039324672.00 ,26586902528.00 ,26323517440.00 ,26021801984.00 ,23396192256.00 ,26027118592.00 ,27060187136.00 ,26373140480.00 ,26720817152.00 ,26071347200.00 ,27712442368.00 ,17916342272.00 ,27338366976.00 ,26625376256.00 ,18447872000.00 ,27010162688.00 ,27192688640.00 ,26149146624.00 ,18768842752.00 ,18452606976.00 ,17851449344.00 ,17943371776.00 ,24744505344.00 ,25354391552.00 ,17489993728.00 ,17759756288.00 ,26185392128.00 ,26032779264.00 ,26220449792.00 ,26993922048.00 ,25911255040.00 ,25764802560.00 ,25233670144.00 ,17980809216.00 ,17671106560.00 ,25484435456.00 ,25131864064.00 ,25673342976.00 ,24557846528.00 ,17952505856.00 ,25196441600.00 ,26425053184.00 ,17504452608.00 ,26595471360.00 ,,1745776943104.00 
22:00:45,17310806016.00 ,30157086720.00 ,19383549952.00 ,21038628864.00 ,19317633024.00 ,30156718080.00 ,20923678720.00 ,27265126400.00 ,20406702080.00 ,21180387328.00 ,30752804864.00 ,30843944960.00 ,30195724288.00 ,30179536896.00 ,30761259008.00 ,30796967936.00 ,31445250048.00 ,32331915264.00 ,20828319744.00 ,21675130880.00 ,21753298944.00 ,30808363008.00 ,30713757696.00 ,29932408832.00 ,32548265984.00 ,31333470208.00 ,21756391424.00 ,21119328256.00 ,29518368768.00 ,20782804992.00 ,27091066880.00 ,20655681536.00 ,30768795648.00 ,30373650432.00 ,29865246720.00 ,30752292864.00 ,29957902336.00 ,32129257472.00 ,31255703552.00 ,31474692096.00 ,29967319040.00 ,32174460928.00 ,20527235072.00 ,31716802560.00 ,30529568768.00 ,21237637120.00 ,31335636992.00 ,31938973696.00 ,30310944768.00 ,21675130880.00 ,21140717568.00 ,20245839872.00 ,20495585280.00 ,28452532224.00 ,29324881920.00 ,20259438592.00 ,20441849856.00 ,29784186880.00 ,30261719040.00 ,30248263680.00 ,31392718848.00 ,29436497920.00 ,29921685504.00 ,28693663744.00 ,20711944192.00 ,20299190272.00 ,29463564288.00 ,29122433024.00 ,29325000704.00 ,28065554432.00 ,20319547392.00 ,28898770944.00 ,30471077888.00 ,20180709376.00 ,30532169728.00 ,,2020445171712.00 
22:01:00,18787295232.00 ,35648356352.00 ,21641465856.00 ,23548350464.00 ,21815283712.00 ,30156718080.00 ,23509946368.00 ,30803570688.00 ,22979198976.00 ,24196059136.00 ,35154403328.00 ,35063779328.00 ,35001569280.00 ,34058997760.00 ,35055419392.00 ,34537644032.00 ,36067622912.00 ,37563400192.00 ,23181316096.00 ,24252264448.00 ,24426434560.00 ,35395022848.00 ,35383513088.00 ,34196914176.00 ,36408647680.00 ,36031832064.00 ,24293507072.00 ,23540703232.00 ,33846464512.00 ,23255638016.00 ,30773313536.00 ,23520231424.00 ,35969789952.00 ,35240538112.00 ,33936183296.00 ,30752292864.00 ,34183147520.00 ,36469624832.00 ,35660210176.00 ,36059615232.00 ,35092664320.00 ,36708413440.00 ,22807584768.00 ,36643184640.00 ,35600457728.00 ,24322179072.00 ,35637444608.00 ,35528691712.00 ,34997047296.00 ,24724054016.00 ,23878266880.00 ,23304347648.00 ,23252189184.00 ,31944634368.00 ,33497763840.00 ,23275499520.00 ,23470800896.00 ,34262290432.00 ,35201294336.00 ,34941370368.00 ,36790038528.00 ,34748391424.00 ,34769391616.00 ,33211383808.00 ,23549145088.00 ,22894927872.00 ,33608671232.00 ,33418809344.00 ,34573070336.00 ,32570695680.00 ,23257632768.00 ,32991731712.00 ,36101332992.00 ,22948904960.00 ,35802677248.00 ,,2302693269504.00 
22:01:15,20173709312.00 ,40946450432.00 ,25498222592.00 ,27415592960.00 ,25275908096.00 ,34977415168.00 ,26758766592.00 ,36134461440.00 ,26475462656.00 ,27832692736.00 ,40296898560.00 ,40724172800.00 ,39478886400.00 ,39139278848.00 ,41300430848.00 ,40657129472.00 ,41649983488.00 ,42993524736.00 ,26914398208.00 ,28251885568.00 ,28296564736.00 ,41207484416.00 ,41042546688.00 ,39574982656.00 ,42667278336.00 ,41563045888.00 ,27737845760.00 ,27675783168.00 ,38656335872.00 ,27120386048.00 ,36250533888.00 ,26233475072.00 ,40639844352.00 ,41464901632.00 ,39271780352.00 ,35975086080.00 ,39267565568.00 ,42614837248.00 ,41334091776.00 ,41819541504.00 ,40239534080.00 ,42679975936.00 ,26364813312.00 ,42548776960.00 ,41000382464.00 ,27374370816.00 ,41475371008.00 ,41938997248.00 ,40176750592.00 ,27713290240.00 ,27679096832.00 ,26899972096.00 ,26946101248.00 ,37051994112.00 ,38758477824.00 ,26828079104.00 ,26471858176.00 ,39620292608.00 ,40794300416.00 ,41018417152.00 ,42375983104.00 ,39699443712.00 ,39271997440.00 ,37807632384.00 ,27864064000.00 ,26448896000.00 ,39016009728.00 ,37705035776.00 ,39352967168.00 ,37995995136.00 ,26436894720.00 ,37398921216.00 ,41856032768.00 ,26484412416.00 ,40934273024.00 ,,2657538592768.00 
22:01:30,21050118144.00 ,40941117440.00 ,29521117184.00 ,27939237888.00 ,28864405504.00 ,40162516992.00 ,27898589184.00 ,41409155072.00 ,27062800384.00 ,28535226368.00 ,41447473152.00 ,41225383936.00 ,40619667456.00 ,40664870912.00 ,42272432128.00 ,41347665920.00 ,42673385472.00 ,42993524736.00 ,27309559808.00 ,28782964736.00 ,28949266432.00 ,41544835072.00 ,42609979392.00 ,40088035328.00 ,43417477120.00 ,43023597568.00 ,28329160704.00 ,28142030848.00 ,41412112384.00 ,27523821568.00 ,41969790976.00 ,27541372928.00 ,42335674368.00 ,42172801024.00 ,40689553408.00 ,41400983552.00 ,40244371456.00 ,43509981184.00 ,42560884736.00 ,42970484736.00 ,41688842240.00 ,43815981056.00 ,26820820992.00 ,43199430656.00 ,41677099008.00 ,28811694080.00 ,42411220992.00 ,42892640256.00 ,40754225152.00 ,29323857920.00 ,28400295936.00 ,28267479040.00 ,28212178944.00 ,39650631680.00 ,41847287808.00 ,28569776128.00 ,28762509312.00 ,40845434880.00 ,42859933696.00 ,44382420992.00 ,30526119936.00 ,42361810944.00 ,42418348032.00 ,39513575424.00 ,30382788608.00 ,28253667328.00 ,41703415808.00 ,41191149568.00 ,41961730048.00 ,41491210240.00 ,28720697344.00 ,40645267456.00 ,43731329024.00 ,27781115904.00 ,43046088704.00 ,,2770079502336.00 
22:01:45,21051416576.00 ,40941117440.00 ,29760319488.00 ,27930087424.00 ,28862676992.00 ,40177803264.00 ,27901771776.00 ,41397661696.00 ,27064823808.00 ,28536524800.00 ,41449967616.00 ,41223020544.00 ,40617897984.00 ,40646156288.00 ,42284081152.00 ,41347325952.00 ,42668756992.00 ,44213952512.00 ,27307147264.00 ,28778934272.00 ,28951900160.00 ,41546051584.00 ,42608713728.00 ,40089333760.00 ,43418316800.00 ,43022487552.00 ,28316864512.00 ,28144386048.00 ,41411354624.00 ,27522326528.00 ,41979666432.00 ,27542503424.00 ,42332872704.00 ,42171363328.00 ,40690696192.00 ,41391181824.00 ,40245424128.00 ,43508240384.00 ,42546847744.00 ,42972057600.00 ,41686974464.00 ,43815006208.00 ,26820481024.00 ,43199115264.00 ,41678614528.00 ,28813205504.00 ,42411933696.00 ,42894938112.00 ,40755122176.00 ,29336375296.00 ,28397793280.00 ,28264194048.00 ,28211314688.00 ,39650914304.00 ,41846530048.00 ,28567527424.00 ,28758687744.00 ,40842461184.00 ,42857234432.00 ,44376657920.00 ,30525517824.00 ,42361143296.00 ,42421440512.00 ,39517134848.00 ,30379454464.00 ,28258811904.00 ,41709146112.00 ,41174122496.00 ,41958813696.00 ,41490853888.00 ,28718616576.00 ,40642613248.00 ,43730522112.00 ,27776700416.00 ,43045945344.00 ,,2771469950976.00 
22:02:00,21051047936.00 ,40941219840.00 ,29758128128.00 ,27931009024.00 ,28861149184.00 ,40159662080.00 ,27916193792.00 ,41400094720.00 ,27063685120.00 ,28536578048.00 ,41449160704.00 ,41221726208.00 ,40619229184.00 ,40647708672.00 ,42270617600.00 ,41346822144.00 ,42665500672.00 ,44217966592.00 ,27302445056.00 ,28774535168.00 ,28962922496.00 ,41543868416.00 ,42609827840.00 ,40089886720.00 ,43424432128.00 ,43022487552.00 ,28314669056.00 ,28143165440.00 ,41415864320.00 ,27527143424.00 ,41979666432.00 ,27540852736.00 ,42344673280.00 ,42167427072.00 ,40687222784.00 ,41387323392.00 ,40255778816.00 ,43506503680.00 ,42546130944.00 ,42972139520.00 ,41686753280.00 ,43820138496.00 ,26828697600.00 ,43201368064.00 ,41688743936.00 ,28812304384.00 ,42410409984.00 ,42897281024.00 ,40751386624.00 ,29320032256.00 ,28402151424.00 ,28263428096.00 ,28212051968.00 ,39648595968.00 ,41846214656.00 ,28568543232.00 ,28760489984.00 ,40842944512.00 ,42858225664.00 ,44378243072.00 ,30525460480.00 ,42359177216.00 ,42421284864.00 ,39510228992.00 ,30379745280.00 ,28259180544.00 ,41708093440.00 ,41173344256.00 ,41970708480.00 ,41490313216.00 ,28718448640.00 ,40642826240.00 ,43728912384.00 ,27777601536.00 ,43045871616.00 ,,2771485667328.00 
22:02:15,21049348096.00 ,40941891584.00 ,29753618432.00 ,27930255360.00 ,28857966592.00 ,40159662080.00 ,27900805120.00 ,41398112256.00 ,27062743040.00 ,28536487936.00 ,41447456768.00 ,41220247552.00 ,40619151360.00 ,40647499776.00 ,42270265344.00 ,41347358720.00 ,42669101056.00 ,44217176064.00 ,27306098688.00 ,28778352640.00 ,28951248896.00 ,41545195520.00 ,42619842560.00 ,40089391104.00 ,43423838208.00 ,43022479360.00 ,28314681344.00 ,28141662208.00 ,41420701696.00 ,27522654208.00 ,41984761856.00 ,27548798976.00 ,42343641088.00 ,42169180160.00 ,40690053120.00 ,41387323392.00 ,40243003392.00 ,43509026816.00 ,42548056064.00 ,42973204480.00 ,41686228992.00 ,43819368448.00 ,26826158080.00 ,43200528384.00 ,41677729792.00 ,28817719296.00 ,42411450368.00 ,42896719872.00 ,40751497216.00 ,29320916992.00 ,28409720832.00 ,28265091072.00 ,28212375552.00 ,39649017856.00 ,41847054336.00 ,28569321472.00 ,28767678464.00 ,40842870784.00 ,42857619456.00 ,44376662016.00 ,30525464576.00 ,42358321152.00 ,42421071872.00 ,39519035392.00 ,30385688576.00 ,28261076992.00 ,41708318720.00 ,41172033536.00 ,41957154816.00 ,41487945728.00 ,28719345664.00 ,40639234048.00 ,43729014784.00 ,27787788288.00 ,43051491328.00 ,,2771491057664.00 
