Time,emr-header-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-3/used,emr-worker-4/used,emr-worker-5/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,
22:00:00,8819728384.00 ,2579767296.00 ,2543828992.00 ,4094828544.00 ,2503856128.00 ,2458574848.00 ,2578755584.00 ,2486198272.00 ,2575437824.00 ,2497200128.00 ,,33138176000.00 
22:00:15,8814764032.00 ,2578935808.00 ,2532294656.00 ,4095332352.00 ,2505437184.00 ,2456915968.00 ,2563350528.00 ,2494423040.00 ,2576437248.00 ,2499235840.00 ,,33117126656.00 
22:00:30,8821342208.00 ,2593087488.00 ,2531983360.00 ,4095049728.00 ,2508283904.00 ,2456133632.00 ,2559250432.00 ,2487562240.00 ,2571595776.00 ,2497564672.00 ,,33121853440.00 
22:00:45,8819625984.00 ,2577965056.00 ,2527932416.00 ,4094988288.00 ,2507513856.00 ,2455498752.00 ,2561101824.00 ,2485465088.00 ,2575859712.00 ,2499424256.00 ,,33105375232.00 
22:01:00,8813314048.00 ,2580119552.00 ,2532311040.00 ,4096012288.00 ,2507055104.00 ,2459615232.00 ,2576175104.00 ,2488066048.00 ,2572091392.00 ,2499465216.00 ,,33124225024.00 
22:01:15,8827559936.00 ,2578980864.00 ,2533359616.00 ,4097368064.00 ,2509119488.00 ,2459062272.00 ,2573725696.00 ,2489053184.00 ,2585878528.00 ,2500268032.00 ,,33154375680.00 
22:01:30,8819109888.00 ,2580017152.00 ,2534408192.00 ,4096380928.00 ,2508599296.00 ,2457346048.00 ,2559582208.00 ,2487123968.00 ,2569859072.00 ,2501488640.00 ,,33113915392.00 
22:01:45,8815263744.00 ,2580951040.00 ,2527461376.00 ,4098207744.00 ,2514059264.00 ,2456444928.00 ,2563952640.00 ,2489647104.00 ,2573918208.00 ,2504974336.00 ,,33124880384.00 
22:02:00,8823283712.00 ,2581749760.00 ,2529984512.00 ,4094324736.00 ,2507698176.00 ,2456322048.00 ,2584526848.00 ,2490978304.00 ,2574692352.00 ,2501029888.00 ,,33144590336.00 
22:02:15,8819818496.00 ,2581270528.00 ,2533273600.00 ,4101996544.00 ,2509598720.00 ,2459705344.00 ,2564304896.00 ,2491625472.00 ,2574680064.00 ,2504179712.00 ,,33140453376.00 
22:02:30,8820998144.00 ,2581487616.00 ,2534592512.00 ,4096593920.00 ,2512093184.00 ,2459508736.00 ,2564030464.00 ,2506190848.00 ,2572464128.00 ,2498994176.00 ,,33146953728.00 
22:02:45,8822706176.00 ,2584338432.00 ,2532933632.00 ,4097134592.00 ,2509094912.00 ,2460610560.00 ,2563743744.00 ,2493403136.00 ,2574528512.00 ,2515095552.00 ,,33153589248.00 
22:03:00,8824053760.00 ,2582802432.00 ,2534805504.00 ,4097458176.00 ,2505388032.00 ,2461134848.00 ,2582740992.00 ,2491584512.00 ,2575806464.00 ,2504970240.00 ,,33160744960.00 
22:03:15,8821972992.00 ,2582073344.00 ,2534391808.00 ,4096724992.00 ,2504548352.00 ,2462146560.00 ,2568896512.00 ,2491232256.00 ,2577055744.00 ,2506915840.00 ,,33145958400.00 
22:03:30,8810930176.00 ,2586353664.00 ,2535374848.00 ,4096704512.00 ,2504654848.00 ,2461597696.00 ,2567507968.00 ,2493599744.00 ,2571202560.00 ,2500878336.00 ,,33128804352.00 
22:03:45,8807362560.00 ,2583654400.00 ,2533183488.00 ,4099944448.00 ,2506678272.00 ,2456162304.00 ,2562883584.00 ,2494341120.00 ,2576809984.00 ,2499760128.00 ,,33120780288.00 
22:04:00,8815910912.00 ,2585526272.00 ,2537328640.00 ,4097101824.00 ,2508197888.00 ,2455105536.00 ,2577264640.00 ,2488971264.00 ,2576977920.00 ,2500198400.00 ,,33142583296.00 
22:04:15,8815816704.00 ,2579292160.00 ,2537717760.00 ,4095049728.00 ,2508935168.00 ,2455560192.00 ,2562781184.00 ,2491097088.00 ,2578157568.00 ,2500374528.00 ,,33124782080.00 
22:04:30,8811945984.00 ,2583662592.00 ,2536161280.00 ,4091568128.00 ,2524594176.00 ,2454650880.00 ,2561933312.00 ,2490388480.00 ,2578173952.00 ,2495561728.00 ,,33128640512.00 
22:04:45,8805314560.00 ,2582069248.00 ,2534195200.00 ,4093853696.00 ,2509983744.00 ,2453549056.00 ,2564300800.00 ,2488479744.00 ,2578780160.00 ,2499096576.00 ,,33109622784.00 
22:05:00,8807968768.00 ,2581651456.00 ,2536960000.00 ,4090830848.00 ,2509234176.00 ,2454904832.00 ,2576101376.00 ,2488041472.00 ,2573176832.00 ,2498297856.00 ,,33117167616.00 
22:05:15,8811687936.00 ,2583683072.00 ,2537000960.00 ,4092063744.00 ,2508382208.00 ,2454523904.00 ,2560397312.00 ,2504196096.00 ,2574409728.00 ,2499686400.00 ,,33126031360.00 
22:05:30,8814780416.00 ,2578014208.00 ,2539659264.00 ,4092248064.00 ,2508726272.00 ,2453012480.00 ,2562945024.00 ,2501541888.00 ,2567593984.00 ,2505592832.00 ,,33124114432.00 
22:05:45,8819195904.00 ,2581274624.00 ,2529517568.00 ,4091518976.00 ,2507517952.00 ,2453815296.00 ,2562486272.00 ,2487017472.00 ,2571821056.00 ,2499158016.00 ,,33103323136.00 
22:06:00,8830922752.00 ,2587697152.00 ,2535460864.00 ,4091559936.00 ,2508619776.00 ,2452770816.00 ,2577899520.00 ,2487939072.00 ,2579836928.00 ,2498535424.00 ,,33151242240.00 
22:06:15,8821059584.00 ,2577522688.00 ,2534924288.00 ,4091985920.00 ,2510143488.00 ,2451480576.00 ,2559578112.00 ,2487984128.00 ,2574049280.00 ,2499235840.00 ,,33107963904.00 
22:06:30,8814030848.00 ,2576261120.00 ,2532646912.00 ,4093386752.00 ,2510520320.00 ,2463662080.00 ,2562162688.00 ,2487308288.00 ,2568888320.00 ,2494009344.00 ,,33102876672.00 
22:06:45,8815644672.00 ,2579312640.00 ,2529382400.00 ,4094291968.00 ,2507845632.00 ,2453766144.00 ,2562052096.00 ,2487312384.00 ,2576072704.00 ,2500251648.00 ,,33105932288.00 
22:07:00,8821784576.00 ,2580525056.00 ,2531745792.00 ,4098867200.00 ,2507567104.00 ,2452627456.00 ,2575904768.00 ,2491457536.00 ,2573377536.00 ,2498322432.00 ,,33132179456.00 
22:07:15,8815927296.00 ,2580439040.00 ,2533552128.00 ,4092268544.00 ,2520219648.00 ,2454884352.00 ,2560172032.00 ,2489839616.00 ,2573987840.00 ,2497560576.00 ,,33118851072.00 
22:07:30,8816447488.00 ,2580197376.00 ,2533330944.00 ,4092313600.00 ,2509139968.00 ,2453286912.00 ,2560229376.00 ,2490224640.00 ,2569793536.00 ,2498023424.00 ,,33102987264.00 
22:07:45,8821805056.00 ,2578382848.00 ,2546331648.00 ,4093190144.00 ,2507665408.00 ,2449960960.00 ,2562027520.00 ,2488852480.00 ,2572460032.00 ,2503008256.00 ,,33123684352.00 
22:08:00,8817512448.00 ,2577080320.00 ,2537066496.00 ,4092813312.00 ,2508152832.00 ,2453573632.00 ,2574544896.00 ,2489540608.00 ,2575319040.00 ,2502443008.00 ,,33128046592.00 
22:08:15,8815443968.00 ,2577358848.00 ,2534277120.00 ,4095414272.00 ,2506969088.00 ,2453151744.00 ,2569859072.00 ,2491998208.00 ,2574557184.00 ,2499022848.00 ,,33118052352.00 
22:08:30,8814272512.00 ,2580783104.00 ,2534297600.00 ,4093190144.00 ,2508705792.00 ,2452606976.00 ,2563231744.00 ,2491785216.00 ,2568843264.00 ,2497187840.00 ,,33104904192.00 
22:08:45,8817963008.00 ,2576687104.00 ,2531729408.00 ,4091179008.00 ,2507980800.00 ,2453422080.00 ,2560581632.00 ,2488823808.00 ,2572001280.00 ,2500665344.00 ,,33101033472.00 
22:09:00,8820072448.00 ,2576748544.00 ,2531475456.00 ,4090355712.00 ,2506350592.00 ,2453979136.00 ,2571816960.00 ,2489958400.00 ,2588323840.00 ,2502877184.00 ,,33131958272.00 
