Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-6/used,emr-worker-60/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,,,,,
13:47:30,10266005504.00 ,2932359168.00 ,2746974208.00 ,3209760768.00 ,2724048896.00 ,2764353536.00 ,2781933568.00 ,3236122624.00 ,2767253504.00 ,3177725952.00 ,3175350272.00 ,3171381248.00 ,2626400256.00 ,3211075584.00 ,2737430528.00 ,3244085248.00 ,2817794048.00 ,3200413696.00 ,2942033920.00 ,6798966784.00 ,3213438976.00 ,3235180544.00 ,3231633408.00 ,3249688576.00 ,2759843840.00 ,3217645568.00 ,3249274880.00 ,2767351808.00 ,3160940544.00 ,3268956160.00 ,3205660672.00 ,3225276416.00 ,3163615232.00 ,2722349056.00 ,6631555072.00 ,2776502272.00 ,2772291584.00 ,2769604608.00 ,2798649344.00 ,2756792320.00 ,8088481792.00 ,3071107072.00 ,3233030144.00 ,3194306560.00 ,7929872384.00 ,2761637888.00 ,7745433600.00 ,3241193472.00 ,2515480576.00 ,7957082112.00 ,2877349888.00 ,2777636864.00 ,3260461056.00 ,2810306560.00 ,2730217472.00 ,3217006592.00 ,3231690752.00 ,3201261568.00 ,3227705344.00 ,3287547904.00 ,2682781696.00 ,,217749311488.00 ,,,,
13:47:45,10275893248.00 ,2937700352.00 ,2746863616.00 ,4415152128.00 ,2725314560.00 ,2765340672.00 ,2783379456.00 ,4326555648.00 ,2769006592.00 ,4371238912.00 ,4824014848.00 ,3171971072.00 ,2626523136.00 ,3198205952.00 ,2736889856.00 ,3239714816.00 ,2818355200.00 ,3858284544.00 ,2942795776.00 ,6921175040.00 ,3971776512.00 ,3251802112.00 ,3238440960.00 ,3765485568.00 ,2763436032.00 ,3243900928.00 ,3258880000.00 ,2766454784.00 ,5121183744.00 ,4620906496.00 ,3359916032.00 ,4463579136.00 ,4512710656.00 ,2726797312.00 ,6642651136.00 ,2781081600.00 ,2776281088.00 ,2774007808.00 ,2815275008.00 ,2758197248.00 ,8131166208.00 ,4349767680.00 ,3246653440.00 ,3202408448.00 ,7931547648.00 ,2759548928.00 ,7831064576.00 ,4925407232.00 ,2515927040.00 ,7994712064.00 ,2880880640.00 ,2774605824.00 ,3294191616.00 ,2825330688.00 ,2731819008.00 ,4544217088.00 ,3253694464.00 ,3229720576.00 ,3248848896.00 ,3304996864.00 ,2681708544.00 ,,235725357056.00 ,,,,
13:48:00,10272677888.00 ,2939121664.00 ,2747592704.00 ,8162062336.00 ,2733682688.00 ,2776002560.00 ,2783789056.00 ,8150990848.00 ,2765660160.00 ,8086306816.00 ,8245792768.00 ,7800610816.00 ,2628698112.00 ,7833645056.00 ,2737266688.00 ,7846178816.00 ,2832732160.00 ,8082198528.00 ,2943942656.00 ,8303480832.00 ,8132374528.00 ,7817961472.00 ,7889760256.00 ,8144916480.00 ,2762407936.00 ,7838457856.00 ,7900561408.00 ,2765578240.00 ,8153063424.00 ,8215617536.00 ,8123256832.00 ,8135401472.00 ,8125296640.00 ,2728144896.00 ,7970131968.00 ,2782334976.00 ,2776719360.00 ,2774413312.00 ,2799681536.00 ,2756919296.00 ,8861102080.00 ,8079196160.00 ,7856619520.00 ,7840337920.00 ,8344207360.00 ,2760613888.00 ,8341295104.00 ,8336166912.00 ,2516414464.00 ,8584871936.00 ,2880278528.00 ,2775375872.00 ,7838253056.00 ,2809454592.00 ,2732810240.00 ,8192118784.00 ,7854624768.00 ,7839494144.00 ,7838265344.00 ,7910715392.00 ,2682597376.00 ,,362140246016.00 ,,,,
13:48:15,10271080448.00 ,2932604928.00 ,2747305984.00 ,8973774848.00 ,2728456192.00 ,2766991360.00 ,2784489472.00 ,8956289024.00 ,2768789504.00 ,8795074560.00 ,8849719296.00 ,8792838144.00 ,2629013504.00 ,8798945280.00 ,2736492544.00 ,8839516160.00 ,2819993600.00 ,8888471552.00 ,2941931520.00 ,8992251904.00 ,8910487552.00 ,8802304000.00 ,8847372288.00 ,8931938304.00 ,2764705792.00 ,8818749440.00 ,8913371136.00 ,2767458304.00 ,8847126528.00 ,8931680256.00 ,8812392448.00 ,8937431040.00 ,8918130688.00 ,2729791488.00 ,8671186944.00 ,2781396992.00 ,2777776128.00 ,2781769728.00 ,2799616000.00 ,2758918144.00 ,9116590080.00 ,8774959104.00 ,8856817664.00 ,8825184256.00 ,8637595648.00 ,2759360512.00 ,8691372032.00 ,8911548416.00 ,2519785472.00 ,8877699072.00 ,2881425408.00 ,2775334912.00 ,8831533056.00 ,2811424768.00 ,2734833664.00 ,8925913088.00 ,8853032960.00 ,8838782976.00 ,8824664064.00 ,8901279744.00 ,2683887616.00 ,,389550657536.00 ,,,,
13:48:30,10270121984.00 ,2938380288.00 ,2763063296.00 ,9049931776.00 ,2725588992.00 ,2763333632.00 ,2784989184.00 ,9034059776.00 ,2768588800.00 ,8955596800.00 ,8995504128.00 ,8955236352.00 ,2628202496.00 ,8989941760.00 ,2735341568.00 ,8993550336.00 ,2815451136.00 ,8965312512.00 ,2939113472.00 ,9108357120.00 ,8993202176.00 ,8983453696.00 ,9017020416.00 ,9011388416.00 ,2762682368.00 ,8982974464.00 ,9063030784.00 ,2764931072.00 ,8906272768.00 ,9013469184.00 ,8997310464.00 ,9007796224.00 ,8993112064.00 ,2729517056.00 ,8870957056.00 ,2791903232.00 ,2775158784.00 ,2772455424.00 ,2797940736.00 ,2755264512.00 ,9394778112.00 ,8850554880.00 ,9023602688.00 ,8988385280.00 ,8975659008.00 ,2771668992.00 ,8968138752.00 ,9060569088.00 ,2517512192.00 ,9166995456.00 ,2883006464.00 ,2775252992.00 ,9006743552.00 ,2808479744.00 ,2733240320.00 ,9000861696.00 ,9021784064.00 ,9007378432.00 ,8991539200.00 ,9069297664.00 ,2691833856.00 ,,394876788736.00 ,,,,
13:48:45,10286104576.00 ,2931490816.00 ,2750328832.00 ,9071026176.00 ,2732576768.00 ,2766225408.00 ,2787348480.00 ,9064415232.00 ,2770485248.00 ,8968634368.00 ,9009991680.00 ,8986992640.00 ,2628214784.00 ,8975728640.00 ,2738606080.00 ,9007181824.00 ,2816663552.00 ,8996814848.00 ,2942386176.00 ,9127337984.00 ,9018413056.00 ,8996020224.00 ,9027694592.00 ,9050107904.00 ,2764865536.00 ,9003933696.00 ,9092767744.00 ,2764206080.00 ,8933474304.00 ,9034702848.00 ,9012064256.00 ,9032146944.00 ,9020157952.00 ,2727915520.00 ,8908480512.00 ,2781372416.00 ,2776698880.00 ,2771787776.00 ,2799312896.00 ,2756993024.00 ,9541029888.00 ,8874135552.00 ,9048010752.00 ,9004548096.00 ,8982978560.00 ,2757562368.00 ,8984281088.00 ,9071661056.00 ,2516668416.00 ,9321172992.00 ,2880151552.00 ,2772557824.00 ,9024815104.00 ,2811133952.00 ,2749906944.00 ,9029959680.00 ,9045663744.00 ,9030475776.00 ,9004179456.00 ,9098502144.00 ,2682068992.00 ,,395863134208.00 ,,,,
13:49:00,10273652736.00 ,2932039680.00 ,2751111168.00 ,9088204800.00 ,2732351488.00 ,2766442496.00 ,2797535232.00 ,9059078144.00 ,2784710656.00 ,8994025472.00 ,9033203712.00 ,8985735168.00 ,2627448832.00 ,8997052416.00 ,2738876416.00 ,9027493888.00 ,2815946752.00 ,8998244352.00 ,2942033920.00 ,9129107456.00 ,9008504832.00 ,8992956416.00 ,9047699456.00 ,9038151680.00 ,2763341824.00 ,9005125632.00 ,9095954432.00 ,2765156352.00 ,8934981632.00 ,9037242368.00 ,9015222272.00 ,9034018816.00 ,9019723776.00 ,2726694912.00 ,8905101312.00 ,2782081024.00 ,2778640384.00 ,2773217280.00 ,2800300032.00 ,2759290880.00 ,9543995392.00 ,8872955904.00 ,9053282304.00 ,9020346368.00 ,9042898944.00 ,2756370432.00 ,9120260096.00 ,9073352704.00 ,2517307392.00 ,9324535808.00 ,2881343488.00 ,2774278144.00 ,9024909312.00 ,2808647680.00 ,2740641792.00 ,9031663616.00 ,9046863872.00 ,9033170944.00 ,9021444096.00 ,9100312576.00 ,2680336384.00 ,,396226617344.00 ,,,,
13:49:15,10258243584.00 ,2944176128.00 ,2751954944.00 ,9076432896.00 ,2732912640.00 ,2766225408.00 ,2785013760.00 ,9089101824.00 ,2771406848.00 ,8990052352.00 ,9030541312.00 ,8987152384.00 ,2630103040.00 ,8994680832.00 ,2741149696.00 ,9029541888.00 ,2816458752.00 ,9002749952.00 ,2942459904.00 ,9153404928.00 ,9009618944.00 ,8995799040.00 ,9046401024.00 ,9033216000.00 ,2763304960.00 ,9004216320.00 ,9091776512.00 ,2765463552.00 ,8933466112.00 ,9036263424.00 ,9014337536.00 ,9035350016.00 ,9022922752.00 ,2727682048.00 ,8939941888.00 ,2782523392.00 ,2775851008.00 ,2771230720.00 ,2800766976.00 ,2759335936.00 ,9546153984.00 ,8881864704.00 ,9054343168.00 ,9023053824.00 ,9043259392.00 ,2756308992.00 ,9111056384.00 ,9101660160.00 ,2522980352.00 ,9321537536.00 ,2883526656.00 ,2774122496.00 ,9027219456.00 ,2818207744.00 ,2740502528.00 ,9032810496.00 ,9045499904.00 ,9029394432.00 ,9025368064.00 ,9105870848.00 ,2683699200.00 ,,396331671552.00 ,,,,
13:49:30,10219708416.00 ,2937982976.00 ,2748092416.00 ,2789527552.00 ,2726170624.00 ,2759057408.00 ,2777452544.00 ,2774982656.00 ,2760634368.00 ,2707632128.00 ,2721427456.00 ,2713751552.00 ,2633011200.00 ,2758017024.00 ,2731700224.00 ,2770214912.00 ,2812604416.00 ,2739937280.00 ,2665320448.00 ,2762272768.00 ,2752606208.00 ,2763673600.00 ,2786422784.00 ,2782183424.00 ,2763104256.00 ,2753851392.00 ,2813448192.00 ,2756964352.00 ,2686648320.00 ,2762678272.00 ,2756341760.00 ,2790457344.00 ,2738987008.00 ,2723975168.00 ,2586439680.00 ,2773860352.00 ,2764177408.00 ,2769301504.00 ,2799538176.00 ,2751721472.00 ,2806722560.00 ,2597347328.00 ,2759737344.00 ,2762289152.00 ,2589511680.00 ,2763730944.00 ,2580496384.00 ,2793680896.00 ,2516226048.00 ,2711773184.00 ,2881224704.00 ,2784358400.00 ,2778284032.00 ,2815434752.00 ,2738294784.00 ,2759749632.00 ,2769416192.00 ,2731761664.00 ,2775891968.00 ,2838777856.00 ,2678362112.00 ,,175018950656.00 ,,,,
13:49:45,9717923840.00 ,2946756608.00 ,2747535360.00 ,2789253120.00 ,2724753408.00 ,2761449472.00 ,2777432064.00 ,2774556672.00 ,2760663040.00 ,2708090880.00 ,2719485952.00 ,2710642688.00 ,2631725056.00 ,2735984640.00 ,2729410560.00 ,2773512192.00 ,2814947328.00 ,2736926720.00 ,2666274816.00 ,2760007680.00 ,2748252160.00 ,2757603328.00 ,2783490048.00 ,2784030720.00 ,2758111232.00 ,2751946752.00 ,2810183680.00 ,2754981888.00 ,2683564032.00 ,2760851456.00 ,2751950848.00 ,2780823552.00 ,2740535296.00 ,2720825344.00 ,2585669632.00 ,2776121344.00 ,2771169280.00 ,2769358848.00 ,2798047232.00 ,2749296640.00 ,2807767040.00 ,2593353728.00 ,2760339456.00 ,2767429632.00 ,2589257728.00 ,2761981952.00 ,2578677760.00 ,2792128512.00 ,2513588224.00 ,2711969792.00 ,2879705088.00 ,2771738624.00 ,2778374144.00 ,2817277952.00 ,2738814976.00 ,2769874944.00 ,2764263424.00 ,2731716608.00 ,2773782528.00 ,2838622208.00 ,2675949568.00 ,,174440759296.00 ,,,,
