Time,emr-worker-100/used,emr-worker-101/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-60/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
15:15:00,3241283584.00 ,3135057920.00 ,3203764224.00 ,3601211392.00 ,3614167040.00 ,6477246464.00 ,3209183232.00 ,3287621632.00 ,3232276480.00 ,3620528128.00 ,3151671296.00 ,3594412032.00 ,3616817152.00 ,3155636224.00 ,3561750528.00 ,3210240000.00 ,3637104640.00 ,3209314304.00 ,3554377728.00 ,3192340480.00 ,3641970688.00 ,3129786368.00 ,3679141888.00 ,3155689472.00 ,3558350848.00 ,3628392448.00 ,8446341120.00 ,3152596992.00 ,3597606912.00 ,3129573376.00 ,3587280896.00 ,3590316032.00 ,3132026880.00 ,3568242688.00 ,3622567936.00 ,3142414336.00 ,3139125248.00 ,3129602048.00 ,3696635904.00 ,3494420480.00 ,3159695360.00 ,3631337472.00 ,3597557760.00 ,3159785472.00 ,3178381312.00 ,3199467520.00 ,3115675648.00 ,3584413696.00 ,3143766016.00 ,3129229312.00 ,3575468032.00 ,,180202864640.00 
15:15:15,7642275840.00 ,7729147904.00 ,6584164352.00 ,11658805248.00 ,11784613888.00 ,7523057664.00 ,6186196992.00 ,5368918016.00 ,6613929984.00 ,12390899712.00 ,6530117632.00 ,11396493312.00 ,11698819072.00 ,7252725760.00 ,11862585344.00 ,7339364352.00 ,11830345728.00 ,7220936704.00 ,11709599744.00 ,7038521344.00 ,11834523648.00 ,6804168704.00 ,11875291136.00 ,7615279104.00 ,10856972288.00 ,10726072320.00 ,12750360576.00 ,6679523328.00 ,10711138304.00 ,7245688832.00 ,11389640704.00 ,11927396352.00 ,7642116096.00 ,11479736320.00 ,11844575232.00 ,7256264704.00 ,7260225536.00 ,7826763776.00 ,11744018432.00 ,7588966400.00 ,7380799488.00 ,11860697088.00 ,11807752192.00 ,7633899520.00 ,7913443328.00 ,7702818816.00 ,7585083392.00 ,12471083008.00 ,7859335168.00 ,7597154304.00 ,12092567552.00 ,,472324874240.00 
15:15:30,8370692096.00 ,8615706624.00 ,8404811776.00 ,13992448000.00 ,14488707072.00 ,8593547264.00 ,8163745792.00 ,8243716096.00 ,8319934464.00 ,14706515968.00 ,8425566208.00 ,14151380992.00 ,13998006272.00 ,8587452416.00 ,14811340800.00 ,8209903616.00 ,14237790208.00 ,8336670720.00 ,14515462144.00 ,8256012288.00 ,14387920896.00 ,8131383296.00 ,14281428992.00 ,8780595200.00 ,14604001280.00 ,13845532672.00 ,15225278464.00 ,8263118848.00 ,13910659072.00 ,8956051456.00 ,14579654656.00 ,14154780672.00 ,9324773376.00 ,14426476544.00 ,14504091648.00 ,8468217856.00 ,8745377792.00 ,9451753472.00 ,14595575808.00 ,8617730048.00 ,8764080128.00 ,14501765120.00 ,14752509952.00 ,8567664640.00 ,9433300992.00 ,8637087744.00 ,8512729088.00 ,15170215936.00 ,9134088192.00 ,8387870720.00 ,14103613440.00 ,,572648738816.00 
15:15:45,10492153856.00 ,10748276736.00 ,10369855488.00 ,18382659584.00 ,18721857536.00 ,10840346624.00 ,9013329920.00 ,10066665472.00 ,10578243584.00 ,19610443776.00 ,10778361856.00 ,18403631104.00 ,18023677952.00 ,10894950400.00 ,19188895744.00 ,10609405952.00 ,19025084416.00 ,10499117056.00 ,19059380224.00 ,10402770944.00 ,19366535168.00 ,10012037120.00 ,18575233024.00 ,10891190272.00 ,18560077824.00 ,18108125184.00 ,19653922816.00 ,10278649856.00 ,18297536512.00 ,11265261568.00 ,19106979840.00 ,18656935936.00 ,11335188480.00 ,18819350528.00 ,18775121920.00 ,10945511424.00 ,11076128768.00 ,11695566848.00 ,19196239872.00 ,10627977216.00 ,11306295296.00 ,19130138624.00 ,19571646464.00 ,10673311744.00 ,11717312512.00 ,11087503360.00 ,11075465216.00 ,19613569024.00 ,11227250688.00 ,10680279040.00 ,18962382848.00 ,,735997833216.00 
15:16:00,12718026752.00 ,12899737600.00 ,12804419584.00 ,22645489664.00 ,23259447296.00 ,12826664960.00 ,10649518080.00 ,12387266560.00 ,12705939456.00 ,23720734720.00 ,13080178688.00 ,22988517376.00 ,22500577280.00 ,12952907776.00 ,23462232064.00 ,12679933952.00 ,23350640640.00 ,12407803904.00 ,23088123904.00 ,12720283648.00 ,23504617472.00 ,12348301312.00 ,23304015872.00 ,13123330048.00 ,23258460160.00 ,22771163136.00 ,23716921344.00 ,12585283584.00 ,22748069888.00 ,13314613248.00 ,23342006272.00 ,22843654144.00 ,13386448896.00 ,23289913344.00 ,22889357312.00 ,13065560064.00 ,13127385088.00 ,13504028672.00 ,23561322496.00 ,12929675264.00 ,13387739136.00 ,22905315328.00 ,23907909632.00 ,12444508160.00 ,13967818752.00 ,12928823296.00 ,13080559616.00 ,23409025024.00 ,13333729280.00 ,12440444928.00 ,22684991488.00 ,,892953436160.00 
15:16:15,14698872832.00 ,15163109376.00 ,14791208960.00 ,26943991808.00 ,27531288576.00 ,15099580416.00 ,12259753984.00 ,14324494336.00 ,14745878528.00 ,28132540416.00 ,15296200704.00 ,26750423040.00 ,26540724224.00 ,14798671872.00 ,27633823744.00 ,14494261248.00 ,27378601984.00 ,14478110720.00 ,27348807680.00 ,14703091712.00 ,27410948096.00 ,14148747264.00 ,27177144320.00 ,15003901952.00 ,27331686400.00 ,26847584256.00 ,27783610368.00 ,14558277632.00 ,26766671872.00 ,15096692736.00 ,27184406528.00 ,26787749888.00 ,15319814144.00 ,27541217280.00 ,26920579072.00 ,14908813312.00 ,14996525056.00 ,15762776064.00 ,27369144320.00 ,14781751296.00 ,15337472000.00 ,27237830656.00 ,28142878720.00 ,14570500096.00 ,16012144640.00 ,15318749184.00 ,15083036672.00 ,27994812416.00 ,15286964224.00 ,14819266560.00 ,26878349312.00 ,,1043493482496.00 
15:16:30,16193892352.00 ,16681242624.00 ,16560492544.00 ,30618361856.00 ,31046709248.00 ,16827998208.00 ,13714456576.00 ,16268660736.00 ,16454901760.00 ,31454461952.00 ,16900067328.00 ,30530482176.00 ,30032297984.00 ,16725471232.00 ,31214428160.00 ,16278441984.00 ,31064293376.00 ,16383193088.00 ,30739869696.00 ,16442560512.00 ,30924849152.00 ,15898136576.00 ,30628110336.00 ,16675708928.00 ,30999498752.00 ,30870155264.00 ,31192576000.00 ,16425259008.00 ,30624116736.00 ,16888287232.00 ,31216410624.00 ,30568538112.00 ,17170477056.00 ,31282737152.00 ,30677282816.00 ,16824180736.00 ,16944209920.00 ,17197240320.00 ,31216386048.00 ,16679321600.00 ,17214472192.00 ,30775783424.00 ,31688142848.00 ,16291905536.00 ,2706841600.00 ,16827985920.00 ,16540528640.00 ,31419912192.00 ,17018056704.00 ,16555667456.00 ,30662729728.00 ,,1160737792000.00 
15:16:45,2769469440.00 ,2690555904.00 ,17116016640.00 ,31188021248.00 ,17105776640.00 ,2711322624.00 ,14196117504.00 ,16875216896.00 ,16770580480.00 ,2688413696.00 ,2678673408.00 ,31460823040.00 ,30884864000.00 ,2690105344.00 ,14802415616.00 ,16535891968.00 ,27059900416.00 ,16666365952.00 ,31325741056.00 ,17059700736.00 ,27120517120.00 ,16448606208.00 ,22300618752.00 ,2683146240.00 ,31599554560.00 ,31987257344.00 ,2696855552.00 ,16681353216.00 ,31523213312.00 ,17237520384.00 ,16906403840.00 ,20150480896.00 ,2667069440.00 ,17151696896.00 ,22040965120.00 ,17132396544.00 ,8634388480.00 ,2689589248.00 ,9840578560.00 ,2706264064.00 ,5695852544.00 ,2729799680.00 ,11541303296.00 ,2689372160.00 ,2706423808.00 ,2731286528.00 ,2655297536.00 ,2688147456.00 ,2688249856.00 ,2667593728.00 ,2688610304.00 ,,676956385280.00 
15:17:00,2769395712.00 ,2689978368.00 ,2730065920.00 ,2690793472.00 ,2694828032.00 ,2710904832.00 ,2721034240.00 ,2776977408.00 ,2736783360.00 ,2687348736.00 ,2684702720.00 ,2684452864.00 ,2721599488.00 ,2688204800.00 ,2677055488.00 ,2731581440.00 ,2740731904.00 ,2737557504.00 ,2639921152.00 ,2714583040.00 ,2723545088.00 ,2674651136.00 ,2722689024.00 ,2683604992.00 ,2640171008.00 ,2695380992.00 ,2691637248.00 ,2702897152.00 ,2684416000.00 ,2673733632.00 ,2716499968.00 ,2669264896.00 ,2669125632.00 ,2670436352.00 ,2697809920.00 ,2682871808.00 ,2693365760.00 ,2688155648.00 ,2741604352.00 ,2703286272.00 ,2699522048.00 ,2727366656.00 ,2691125248.00 ,2689507328.00 ,2706538496.00 ,2731249664.00 ,2676129792.00 ,2675118080.00 ,2688761856.00 ,2675699712.00 ,2685865984.00 ,,137700532224.00 
15:17:15,2782916608.00 ,2688868352.00 ,2730807296.00 ,2702147584.00 ,2696204288.00 ,2709749760.00 ,2727604224.00 ,2776858624.00 ,2740547584.00 ,2693226496.00 ,2684108800.00 ,2683904000.00 ,2713145344.00 ,2687070208.00 ,2673389568.00 ,2732236800.00 ,2732318720.00 ,2735976448.00 ,2641502208.00 ,2713116672.00 ,2724921344.00 ,2674888704.00 ,2712588288.00 ,2684309504.00 ,2639314944.00 ,2698395648.00 ,2692526080.00 ,2698592256.00 ,2692145152.00 ,2674057216.00 ,2715729920.00 ,2670239744.00 ,2675900416.00 ,2669756416.00 ,2696708096.00 ,2703511552.00 ,2690781184.00 ,2689716224.00 ,2732474368.00 ,2710474752.00 ,2701733888.00 ,2725408768.00 ,2681929728.00 ,2689048576.00 ,2719944704.00 ,2729947136.00 ,2661445632.00 ,2681688064.00 ,2687590400.00 ,2671804416.00 ,2684284928.00 ,,137727557632.00 
