Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-6/used,emr-worker-60/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-7/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-8/used,emr-worker-9/used,,,,,,
18:30:00,10860482560.00 ,3496767488.00 ,2919755776.00 ,2801352704.00 ,2744905728.00 ,2732445696.00 ,2749603840.00 ,2795388928.00 ,2725511168.00 ,2565873664.00 ,2791133184.00 ,2824810496.00 ,2741366784.00 ,2761592832.00 ,2761637888.00 ,2760515584.00 ,2722906112.00 ,2723426304.00 ,2743820288.00 ,2732232704.00 ,2750496768.00 ,2771095552.00 ,2841722880.00 ,2762235904.00 ,2723246080.00 ,2706747392.00 ,2761646080.00 ,2731716608.00 ,2743099392.00 ,2763337728.00 ,2724663296.00 ,2698776576.00 ,2742763520.00 ,2770210816.00 ,2727387136.00 ,2803621888.00 ,2752081920.00 ,2827579392.00 ,2753945600.00 ,2711355392.00 ,2728529920.00 ,2725384192.00 ,2734997504.00 ,2749579264.00 ,2765475840.00 ,2774913024.00 ,2758250496.00 ,2728337408.00 ,2764066816.00 ,2770432000.00 ,2781478912.00 ,2776973312.00 ,2784862208.00 ,2749120512.00 ,2781233152.00 ,2727677952.00 ,2827436032.00 ,2790383616.00 ,2767286272.00 ,2766544896.00 ,2715250688.00 ,2716598272.00 ,2709835776.00 ,2745511936.00 ,2794049536.00 ,2758811648.00 ,2753650688.00 ,2747748352.00 ,2618150912.00 ,2770337792.00 ,2721021952.00 ,2752954368.00 ,2755858432.00 ,2745753600.00 ,2722897920.00 ,2733608960.00 ,,218038263808.00 ,,,,
18:30:15,10853871616.00 ,3504504832.00 ,2924220416.00 ,2802221056.00 ,2755936256.00 ,2730082304.00 ,2760966144.00 ,2791542784.00 ,2725634048.00 ,2571268096.00 ,2786078720.00 ,2820546560.00 ,2750488576.00 ,2762539008.00 ,2757455872.00 ,2778431488.00 ,2718105600.00 ,2725953536.00 ,2752225280.00 ,2730373120.00 ,2756517888.00 ,2767228928.00 ,2832543744.00 ,2763481088.00 ,2738483200.00 ,2727235584.00 ,2758848512.00 ,2731814912.00 ,2745425920.00 ,2754805760.00 ,2723893248.00 ,2694545408.00 ,2737008640.00 ,2771992576.00 ,2720587776.00 ,2797191168.00 ,2750525440.00 ,2834845696.00 ,2750328832.00 ,2713165824.00 ,2733629440.00 ,2726608896.00 ,2736234496.00 ,2763714560.00 ,2760716288.00 ,2795155456.00 ,2760802304.00 ,2723536896.00 ,2769854464.00 ,2778144768.00 ,2782961664.00 ,2775207936.00 ,2779922432.00 ,2741047296.00 ,2774732800.00 ,2723192832.00 ,2827132928.00 ,2794348544.00 ,2768031744.00 ,2762723328.00 ,2716790784.00 ,2726625280.00 ,2706403328.00 ,2749906944.00 ,2802659328.00 ,2757709824.00 ,2746253312.00 ,2742317056.00 ,2604531712.00 ,2766352384.00 ,2730016768.00 ,2754457600.00 ,2752225280.00 ,2755911680.00 ,2716745728.00 ,2753671168.00 ,,218133192704.00 ,,,,
18:30:30,10845966336.00 ,3482742784.00 ,2913697792.00 ,2801942528.00 ,2742804480.00 ,2728128512.00 ,2752458752.00 ,2791604224.00 ,2724229120.00 ,2566885376.00 ,2784563200.00 ,2819964928.00 ,2739851264.00 ,2762440704.00 ,2756984832.00 ,2753732608.00 ,2717118464.00 ,2717122560.00 ,2739830784.00 ,2731708416.00 ,2748825600.00 ,2764664832.00 ,2826158080.00 ,2761740288.00 ,2723209216.00 ,2708611072.00 ,2756562944.00 ,2732412928.00 ,2740117504.00 ,2748145664.00 ,2721574912.00 ,2697285632.00 ,2737614848.00 ,2768560128.00 ,2721329152.00 ,2796785664.00 ,2748121088.00 ,2828402688.00 ,2749931520.00 ,2706014208.00 ,2729918464.00 ,2730713088.00 ,2736996352.00 ,2751459328.00 ,2762579968.00 ,2776432640.00 ,2760462336.00 ,2724360192.00 ,2769764352.00 ,2769649664.00 ,2780712960.00 ,2772721664.00 ,2779185152.00 ,2741088256.00 ,2774843392.00 ,2722934784.00 ,2837704704.00 ,2782466048.00 ,2768265216.00 ,2756857856.00 ,2714857472.00 ,2731978752.00 ,2705551360.00 ,2750816256.00 ,2796720128.00 ,2753613824.00 ,2746093568.00 ,2744688640.00 ,2603225088.00 ,2765729792.00 ,2720571392.00 ,2752761856.00 ,2752970752.00 ,2758737920.00 ,2716483584.00 ,2732982272.00 ,,217836744704.00 ,,,,
18:30:45,10863247360.00 ,3500122112.00 ,2915356672.00 ,2800627712.00 ,2740322304.00 ,2730553344.00 ,2753019904.00 ,2790113280.00 ,2722570240.00 ,2566107136.00 ,2784976896.00 ,2818203648.00 ,2738487296.00 ,2762563584.00 ,2755399680.00 ,2753212416.00 ,2717519872.00 ,2717970432.00 ,2740297728.00 ,2730139648.00 ,2748174336.00 ,2763325440.00 ,2829705216.00 ,2765938688.00 ,2724360192.00 ,2705977344.00 ,2756259840.00 ,2730434560.00 ,2737319936.00 ,2747535360.00 ,2719907840.00 ,2695077888.00 ,2735894528.00 ,2765901824.00 ,2718818304.00 ,2796646400.00 ,2746109952.00 ,2834952192.00 ,2746761216.00 ,2703192064.00 ,2728435712.00 ,2728878080.00 ,2735587328.00 ,2747297792.00 ,2773147648.00 ,2773299200.00 ,2757861376.00 ,2721452032.00 ,2766053376.00 ,2770542592.00 ,2781949952.00 ,2770153472.00 ,2791567360.00 ,2739974144.00 ,2776100864.00 ,2721931264.00 ,2825543680.00 ,2782773248.00 ,2775769088.00 ,2757406720.00 ,2714910720.00 ,2713915392.00 ,2705838080.00 ,2742042624.00 ,2797551616.00 ,2752438272.00 ,2745335808.00 ,2742808576.00 ,2602602496.00 ,2764877824.00 ,2720919552.00 ,2755072000.00 ,2750996480.00 ,2740551680.00 ,2716413952.00 ,2734477312.00 ,,217799581696.00 ,,,,
18:31:00,10863181824.00 ,3497537536.00 ,2914365440.00 ,2802290688.00 ,2744823808.00 ,2727612416.00 ,2752212992.00 ,2792960000.00 ,2727239680.00 ,2565459968.00 ,2783543296.00 ,2816446464.00 ,2739654656.00 ,2762223616.00 ,2753839104.00 ,2751705088.00 ,2718748672.00 ,2718072832.00 ,2740260864.00 ,2732228608.00 ,2748588032.00 ,2764247040.00 ,2831773696.00 ,2760392704.00 ,2722295808.00 ,2709266432.00 ,2757959680.00 ,2731212800.00 ,2740178944.00 ,2745782272.00 ,2721607680.00 ,2706743296.00 ,2734854144.00 ,2770767872.00 ,2718158848.00 ,2794590208.00 ,2745282560.00 ,2827251712.00 ,2746826752.00 ,2704420864.00 ,2729242624.00 ,2728869888.00 ,2737123328.00 ,2748215296.00 ,2760937472.00 ,2773561344.00 ,2758524928.00 ,2729447424.00 ,2767097856.00 ,2771890176.00 ,2780450816.00 ,2771668992.00 ,2779463680.00 ,2739535872.00 ,2778443776.00 ,2722414592.00 ,2824040448.00 ,2785202176.00 ,2769072128.00 ,2767462400.00 ,2715566080.00 ,2715471872.00 ,2706464768.00 ,2741075968.00 ,2794610688.00 ,2751561728.00 ,2749882368.00 ,2743762944.00 ,2602471424.00 ,2779271168.00 ,2718334976.00 ,2751062016.00 ,2749984768.00 ,2751021056.00 ,2716131328.00 ,2729033728.00 ,,217824980992.00 ,,,,
18:31:15,10861563904.00 ,3489058816.00 ,2915479552.00 ,2801823744.00 ,2741035008.00 ,2734370816.00 ,2753249280.00 ,2795003904.00 ,2729533440.00 ,2565283840.00 ,2783875072.00 ,2817089536.00 ,2739023872.00 ,2763120640.00 ,2756616192.00 ,2754830336.00 ,2717073408.00 ,2721030144.00 ,2739281920.00 ,2756820992.00 ,2754686976.00 ,2763423744.00 ,2830635008.00 ,2761170944.00 ,2722648064.00 ,2709630976.00 ,2758213632.00 ,2731831296.00 ,2735452160.00 ,2746986496.00 ,2723385344.00 ,2694602752.00 ,2738499584.00 ,2768769024.00 ,2722021376.00 ,2797117440.00 ,2746978304.00 ,2826395648.00 ,2748555264.00 ,2705821696.00 ,2743853056.00 ,2726719488.00 ,2738593792.00 ,2749497344.00 ,2760019968.00 ,2774765568.00 ,2759258112.00 ,2722856960.00 ,2767818752.00 ,2775793664.00 ,2778415104.00 ,2772779008.00 ,2781442048.00 ,2738274304.00 ,2778112000.00 ,2722881536.00 ,2823987200.00 ,2786668544.00 ,2770370560.00 ,2759938048.00 ,2715869184.00 ,2717401088.00 ,2707185664.00 ,2742505472.00 ,2798256128.00 ,2752491520.00 ,2748669952.00 ,2745024512.00 ,2603024384.00 ,2765213696.00 ,2716966912.00 ,2753069056.00 ,2749140992.00 ,2743816192.00 ,2725924864.00 ,2732855296.00 ,,217871450112.00 ,,,,
18:31:30,10854510592.00 ,3499646976.00 ,2927599616.00 ,2801586176.00 ,2739384320.00 ,2728591360.00 ,2752417792.00 ,2792525824.00 ,2727972864.00 ,2564587520.00 ,2783371264.00 ,2816630784.00 ,2739032064.00 ,2764267520.00 ,2754805760.00 ,2754068480.00 ,2716291072.00 ,2732498944.00 ,2739109888.00 ,2733191168.00 ,2748522496.00 ,2759733248.00 ,2831917056.00 ,2760617984.00 ,2725195776.00 ,2707038208.00 ,2758090752.00 ,2732523520.00 ,2735513600.00 ,2748047360.00 ,2728087552.00 ,2695544832.00 ,2738688000.00 ,2768175104.00 ,2721021952.00 ,2797998080.00 ,2747269120.00 ,2824282112.00 ,2747772928.00 ,2704805888.00 ,2728357888.00 ,2742255616.00 ,2736947200.00 ,2750627840.00 ,2760409088.00 ,2773254144.00 ,2759278592.00 ,2724601856.00 ,2766430208.00 ,2773839872.00 ,2787700736.00 ,2770337792.00 ,2779758592.00 ,2739982336.00 ,2779250688.00 ,2723926016.00 ,2824630272.00 ,2782027776.00 ,2769580032.00 ,2758840320.00 ,2713280512.00 ,2718216192.00 ,2704252928.00 ,2742095872.00 ,2796527616.00 ,2752192512.00 ,2747146240.00 ,2744287232.00 ,2604294144.00 ,2765877248.00 ,2720649216.00 ,2750898176.00 ,2748567552.00 ,2743656448.00 ,2714095616.00 ,2734002176.00 ,,217835012096.00 ,,,,
18:31:45,10861871104.00 ,3507658752.00 ,2922143744.00 ,2801930240.00 ,2746318848.00 ,2737545216.00 ,2758193152.00 ,2803318784.00 ,2729508864.00 ,2568343552.00 ,2797281280.00 ,2839371776.00 ,2748125184.00 ,2779226112.00 ,2764488704.00 ,2761654272.00 ,2724372480.00 ,2729025536.00 ,2748198912.00 ,2741690368.00 ,2753466368.00 ,2771570688.00 ,2833735680.00 ,2768437248.00 ,2731507712.00 ,2709766144.00 ,2768764928.00 ,2741489664.00 ,2741084160.00 ,2749333504.00 ,2719625216.00 ,2695356416.00 ,2761293824.00 ,2779238400.00 ,2731352064.00 ,2796376064.00 ,2757349376.00 ,2829377536.00 ,2755055616.00 ,2706386944.00 ,2732859392.00 ,2738249728.00 ,2744143872.00 ,2757849088.00 ,2772119552.00 ,2774937600.00 ,2771415040.00 ,2732040192.00 ,2777829376.00 ,2776035328.00 ,2791415808.00 ,2769969152.00 ,2790420480.00 ,2750271488.00 ,2789019648.00 ,2732015616.00 ,2824851456.00 ,2787889152.00 ,2778230784.00 ,2765361152.00 ,2713960448.00 ,2722275328.00 ,2701615104.00 ,2743365632.00 ,2802970624.00 ,2750570496.00 ,2759503872.00 ,2742185984.00 ,2614079488.00 ,2772664320.00 ,2730622976.00 ,2749349888.00 ,2761834496.00 ,2748862464.00 ,2724552704.00 ,2737135616.00 ,,218303307776.00 ,,,,
18:32:00,10855038976.00 ,3489636352.00 ,2915168256.00 ,2810843136.00 ,2738819072.00 ,2729029632.00 ,2752843776.00 ,2790846464.00 ,2729070592.00 ,2564251648.00 ,2783858688.00 ,2819325952.00 ,2737811456.00 ,2763522048.00 ,2754084864.00 ,2752430080.00 ,2716110848.00 ,2720034816.00 ,2738061312.00 ,2731831296.00 ,2750115840.00 ,2766405632.00 ,2831564800.00 ,2759122944.00 ,2722377728.00 ,2708926464.00 ,2755710976.00 ,2730614784.00 ,2735947776.00 ,2749497344.00 ,2719117312.00 ,2694299648.00 ,2735857664.00 ,2768855040.00 ,2728439808.00 ,2795212800.00 ,2745720832.00 ,2826092544.00 ,2745495552.00 ,2720333824.00 ,2730082304.00 ,2727952384.00 ,2734379008.00 ,2752049152.00 ,2760392704.00 ,2772111360.00 ,2758557696.00 ,2722619392.00 ,2770530304.00 ,2774028288.00 ,2781536256.00 ,2783690752.00 ,2780848128.00 ,2740473856.00 ,2777268224.00 ,2721861632.00 ,2823233536.00 ,2783166464.00 ,2765787136.00 ,2757013504.00 ,2714951680.00 ,2717286400.00 ,2714267648.00 ,2742611968.00 ,2796556288.00 ,2750353408.00 ,2745532416.00 ,2740588544.00 ,2602561536.00 ,2763206656.00 ,2717220864.00 ,2749874176.00 ,2751111168.00 ,2741968896.00 ,2713935872.00 ,2730094592.00 ,,217792032768.00 ,,,,
18:32:15,10841985024.00 ,3498926080.00 ,2913275904.00 ,2804027392.00 ,2741473280.00 ,2729811968.00 ,2760474624.00 ,2793607168.00 ,2728222720.00 ,2562719744.00 ,2789396480.00 ,2818813952.00 ,2739073024.00 ,2763579392.00 ,2754473984.00 ,2753101824.00 ,2715918336.00 ,2720493568.00 ,2751328256.00 ,2731970560.00 ,2750889984.00 ,2763640832.00 ,2832199680.00 ,2759458816.00 ,2724442112.00 ,2708926464.00 ,2758303744.00 ,2729742336.00 ,2737762304.00 ,2749276160.00 ,2723172352.00 ,2697007104.00 ,2737029120.00 ,2769555456.00 ,2722930688.00 ,2796437504.00 ,2746990592.00 ,2825474048.00 ,2745311232.00 ,2707021824.00 ,2728046592.00 ,2728947712.00 ,2735398912.00 ,2751356928.00 ,2763440128.00 ,2774421504.00 ,2758545408.00 ,2721665024.00 ,2767912960.00 ,2774863872.00 ,2780561408.00 ,2771808256.00 ,2781278208.00 ,2739453952.00 ,2786570240.00 ,2720268288.00 ,2826289152.00 ,2786480128.00 ,2765950976.00 ,2758295552.00 ,2716274688.00 ,2715422720.00 ,2703863808.00 ,2742255616.00 ,2797338624.00 ,2752348160.00 ,2746548224.00 ,2757586944.00 ,2603462656.00 ,2767790080.00 ,2720210944.00 ,2751283200.00 ,2749259776.00 ,2741993472.00 ,2716028928.00 ,2731786240.00 ,,217833254912.00 ,,,,
