Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-6/used,emr-worker-60/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-7/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-8/used,emr-worker-9/used,,,,,,
22:00:00,10279190528,14670991360,19841970176,19735756800,19382439936,14050967552,19674853376,19904049152,19529838592,19365093376,13968793600,19734319104,19580051456,19348144128,19806539776,14097063936,19724144640,19871137792,14028357632,13816762368,19196633088,13853745152,19570728960,19577098240,19820150784,14258106368,14074388480,19573780480,19608317952,13910294528,19403038720,19454279680,19628183552,19539603456,14021615616,19519389696,14126182400,14363987968,13829431296,19940790272,13787262976,13661417472,19532017664,19461009408,13881757696,19667959808,19683360768,19510280192,19519766528,14090706944,19608178688,19811246080,13995053056,14144503808,19645812736,14246506496,20212666368,19235295232,19795828736,19621187584,19831717888,19694358528,19943804928,13913358336,19798573056,19710590976,19938566144,19364040704,19558973440,20008439808,13793284096,19596967936,19459104768,20272431104,19711799296,20071251968,,1.36E+12,,,,
22:00:15,10204577792,16343502848,22337421312,22612774912,21648502784,15734734848,22139760640,22319017984,22501789696,21757509632,15473373184,22114377728,22097399808,21680148480,22351683584,15514042368,21481500672,22549934080,15625932800,15254216704,22100389888,15530446848,21653463040,22199848960,22300119040,15929876480,15230521344,21581705216,21931995136,15694991360,22006304768,21950410752,21964406784,22267121664,15535972352,21766012928,15795781632,16076554240,15492632576,22000533504,15270637568,15140003840,21849309184,21538336768,15484264448,22337142784,21831524352,22019973120,22130421760,15848665088,22235856896,22648434688,15627935744,15857274880,22356672512,16013860864,22949793792,21873373184,21733437440,22344790016,22450601984,22112444416,21739114496,15535362048,21898121216,22160777216,22208065536,21920305152,22155898880,22678851584,15563882496,22229348352,21945024512,23338967040,22061494272,22651645952,,1.52E+12,,,,
22:00:30,10226704384,18219978752,25407062016,25881636864,24311726080,17799348224,25437057024,25713115136,25765720064,24645578752,17253400576,25027944448,25454592000,24693747712,25742741504,17667928064,24730279936,25760808960,17581686784,16998969344,25159028736,17471008768,24906792960,24972734464,25631633408,18180952064,17067982848,25070108672,25170247680,17565425664,24995729408,25045753856,24917753856,25365897216,17486712832,24581926912,17832013824,18106753024,17331191808,25648242688,17317384192,17300918272,24955465728,24480247808,17456087040,25271791616,25013264384,24984264704,25130389504,17946849280,25197707264,25508536320,17394700288,17900847104,25448493056,18185588736,26472509440,24962936832,25002954752,25487519744,25610788864,25354625024,25265307648,17488719872,25443729408,25219952640,25365057536,25026646016,25536335872,25699987456,17403658240,25287835648,24940187648,26537717760,25225912320,25843183616,,1.73E+12,,,,
22:00:45,10226520064,20645838848,29605695488,29717594112,28142657536,20045365248,29063864320,29900910592,30165364736,28092067840,19982790656,28584554496,29027737600,28588572672,29877182464,20088758272,28702126080,29951729664,19930693632,19560484864,28974489600,19998953472,28565069824,28609822720,29390385152,20973936640,19691622400,28542664704,29123977216,19862921216,28983107584,28589514752,28471189504,28990226432,19766403072,28793921536,20743102464,20830199808,19820425216,29907816448,19585437696,19576107008,28398919680,28129439744,20265140224,29027201024,28595482624,29129641984,28755070976,20576833536,29113413632,29173596160,20129062912,20590673920,29067780096,20729323520,30573604864,28646580224,28876660736,29673697280,29721698304,29356130304,29489926144,19816509440,29115834368,28977291264,29063335936,28474871808,29515997184,29593497600,19708710912,28842487808,28733665280,30358278144,29339623424,29659267072,,1.99E+12,,,,
22:01:00,10217017344,23398055936,33524867072,34017316864,32786841600,22773026816,32882827264,34007158784,34973773824,32256847872,22973898752,32350265344,34002370560,33031962624,34249244672,22873198592,33208377344,34657456128,22387523584,22281158656,34373681152,22766182400,32659316736,33428811776,33717362688,23581204480,22423949312,32813223936,33030115328,22475575296,33850273792,32855719936,32423342080,33013317632,22335987712,33010737152,23295606784,23566893056,23044435968,34410385408,22586712064,22104039424,32109719552,32244219904,23724265472,33140416512,32781606912,34136649728,32621715456,22933282816,33183731712,33185456128,22618931200,23204884480,33081843712,23576997888,35212627968,32226746368,33384726528,34633621504,33677082624,33169498112,33821175808,22270791680,33230540800,32967553024,33287602176,32961794048,34272215040,33871470592,22016819200,32698515456,33205374976,35905384448,33344610304,33817239552,,2.27E+12,,,,
22:01:15,10204639232,26244210688,39438487552,39697313792,37568106496,25569234944,38798999552,39877996544,40246333440,36479221760,25875472384,38037700608,39073447936,37441978368,40215572480,25703706624,37561982976,40137924608,26285780992,25258151936,38845730816,26006994944,37156114432,38798610432,38742319104,27256340480,24954937344,36814295040,37839093760,25184997376,38736310272,37793947648,37322850304,38192177152,25548685312,37855240192,27036508160,27507884032,26603106304,38743289856,25454706688,24929902592,36394491904,36522393600,27151441920,38041497600,37969022976,39392227328,38090686464,26671251456,38638219264,38946717696,25899986944,26786787328,38074724352,26874617856,40498626560,37533114368,37504643072,39986954240,39709032448,38122913792,38077640704,25820856320,37215653888,38285336576,38142410752,37269831680,39257755648,39371730944,25415794688,38331609088,37029027840,41523949568,38898089984,39095185408,,2.61E+12,,,,
22:01:30,10220417024,29057183744,41997074432,42790920192,40974299136,26911764480,41330384896,43842220032,42063503360,39481491456,28221706240,39935369216,42102906880,40186359808,42905616384,27779338240,40391696384,42730659840,27620134912,27403849728,42342178816,27519774720,40171479040,42377625600,42234224640,29694730240,27163328512,40150982656,40807383040,27321999360,42838847488,40244273152,40568078336,40313663488,27040493568,41391771648,29399736320,28949868544,28940427264,42365411328,27749007360,27168976896,39892869120,39798239232,29479911424,40980557824,41608712192,41590358016,40449232896,27936247808,41068888064,41371582464,27387875328,29205270528,40606760960,29131915264,43364057088,40008761344,41036853248,42071273472,42857115648,40117510144,42161897472,27022630912,40570810368,40879345664,41176895488,40791318528,42358673408,42665783296,26743656448,40151498752,40452149248,43009568768,41875963904,41883967488,,2.81E+12,,,,
22:01:45,10226089984,29078155264,41994715136,42797547520,40970194944,26913071104,41331781632,43828985856,42064863232,39484022784,28219916288,39934918656,42105638912,40191070208,42904428544,27765489664,40389566464,42729398272,27618226176,27399954432,42339704832,27518951424,40167845888,42373971968,42258657280,29692887040,27161145344,40163860480,40806252544,27320651776,42840567808,40251760640,40563142656,40315490304,27042459648,41390505984,29397516288,28956868608,28935684096,42372063232,27748261888,27165282304,39892156416,39799037952,29477093376,40985808896,41615495168,41596534784,40459960320,27933257728,41065263104,41369796608,27385634816,29201043456,40605749248,29128015872,43376951296,40004939776,41040683008,42071449600,42853310464,40114323456,42168893440,27019718656,40568012800,40884813824,41176510464,40789291008,42358534144,42671296512,26743853056,40148865024,40458756096,43014234112,41873784832,41882456064,,2.81E+12,,,,
22:02:00,10296786944,29068324864,41995059200,42796154880,40970493952,26912940032,41329688576,43827499008,42068336640,39486029824,28230279168,39933132800,42106351616,40188801024,42903117824,27766071296,40390664192,42729414656,27618402304,27398393856,42346373120,27519639552,40166752256,42373578752,42245734400,29707341824,27174121472,40146907136,40810946560,27321090048,42837012480,40256315392,40570982400,40312889344,27043430400,41390391296,29396598784,28949860352,28938268672,42371694592,27747848192,27165450240,39896465408,39796269056,29473325056,40983937024,41612361728,41594806272,40446562304,27932135424,41065840640,41370116096,27384434688,29200928768,40609542144,29129445376,43376611328,40004321280,41042862080,42070827008,42852990976,40115449856,42167689216,27020554240,40568176640,40883400704,41176592384,40799555584,42362560512,42669436928,26750943232,40150331392,40457502720,43013963776,41878683648,41881980928,,2.81E+12,,,,
22:02:15,10221993984,29068132352,41993265152,42797187072,40970870784,26914209792,41328812032,43831263232,42063654912,39484538880,28219170816,39932788736,42104295424,40186720256,42907066368,27767443456,40388554752,42728165376,27618910208,27398152192,42345738240,27519315968,40165634048,42374098944,42246467584,29702176768,27173859328,40147791872,40812339200,27318591488,42837237760,40252792832,40565112832,40316469248,27041681408,41391718400,29397127168,28947124224,28939046912,42372194304,27747299328,27165822976,39893463040,39795482624,29474566144,40984403968,41611542528,41600827392,40452964352,27933487104,41061167104,41368879104,27392212992,29200281600,40611360768,29128318976,43375808512,40003559424,41040158720,42070933504,42853576704,40115187712,42166202368,27021135872,40569712640,40884981760,41176174592,40791670784,42362089472,42668236800,26747129856,40149762048,40460574720,43015127040,41878536192,41882574848,,2.81E+12,,,,
