Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-6/used,emr-worker-60/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,
11:02:30,10555408384.00 ,2945282048.00 ,2757337088.00 ,2790674432.00 ,2729619456.00 ,2786037760.00 ,2801971200.00 ,2796052480.00 ,2773491712.00 ,2736041984.00 ,2720874496.00 ,9990434816.00 ,2655019008.00 ,2743336960.00 ,2757447680.00 ,2790649856.00 ,2828075008.00 ,3913863168.00 ,10200653824.00 ,2774659072.00 ,2769596416.00 ,2768863232.00 ,2809315328.00 ,2803986432.00 ,2773606400.00 ,10199367680.00 ,2837450752.00 ,2772230144.00 ,10140217344.00 ,2766770176.00 ,2756354048.00 ,2800640000.00 ,2749714432.00 ,2735546368.00 ,2591293440.00 ,2795405312.00 ,2787737600.00 ,10236416000.00 ,10520309760.00 ,2787409920.00 ,2824818688.00 ,10110877696.00 ,10101018624.00 ,2781437952.00 ,9978052608.00 ,10335141888.00 ,10010312704.00 ,2813534208.00 ,10092224512.00 ,2733330432.00 ,2896912384.00 ,2783748096.00 ,10190290944.00 ,2828181504.00 ,2752380928.00 ,2762047488.00 ,2783117312.00 ,10099675136.00 ,2778189824.00 ,2842935296.00 ,2680393728.00 ,,281627783168.00 
11:02:45,10239479808.00 ,2947710976.00 ,2758373376.00 ,2793738240.00 ,2735529984.00 ,2788089856.00 ,2806718464.00 ,2797187072.00 ,2781835264.00 ,2726178816.00 ,2722820096.00 ,10596941824.00 ,2654425088.00 ,2745016320.00 ,2757844992.00 ,2792415232.00 ,2830991360.00 ,4008464384.00 ,10875834368.00 ,2776223744.00 ,2771693568.00 ,2776903680.00 ,2807939072.00 ,2806587392.00 ,2777890816.00 ,10789695488.00 ,2833899520.00 ,2770038784.00 ,10794192896.00 ,2775216128.00 ,2763517952.00 ,2801946624.00 ,2753638400.00 ,2736345088.00 ,2595561472.00 ,2796265472.00 ,2789441536.00 ,10923712512.00 ,10977558528.00 ,2788720640.00 ,2825334784.00 ,10812833792.00 ,10780135424.00 ,2785460224.00 ,10668265472.00 ,10922553344.00 ,10621468672.00 ,2814496768.00 ,10711580672.00 ,2739494912.00 ,2900393984.00 ,2784854016.00 ,10727862272.00 ,2829512704.00 ,2755772416.00 ,2762235904.00 ,2782674944.00 ,10812772352.00 ,2778320896.00 ,2843594752.00 ,2680049664.00 ,,290306252800.00 
11:03:00,10242441216.00 ,2937212928.00 ,2759598080.00 ,2794106880.00 ,2733264896.00 ,2786885632.00 ,2804359168.00 ,2797117440.00 ,2773942272.00 ,2723905536.00 ,2722541568.00 ,10785382400.00 ,2655309824.00 ,2745778176.00 ,2757410816.00 ,2793603072.00 ,2832904192.00 ,4088008704.00 ,11471945728.00 ,2774827008.00 ,2773159936.00 ,2765111296.00 ,2807894016.00 ,2805694464.00 ,2778849280.00 ,11362267136.00 ,2833829888.00 ,2770919424.00 ,10995863552.00 ,2767613952.00 ,2758123520.00 ,2813276160.00 ,2752970752.00 ,2736435200.00 ,2596601856.00 ,2797322240.00 ,2787127296.00 ,11146629120.00 ,11189547008.00 ,2798481408.00 ,2821283840.00 ,11420233728.00 ,11089707008.00 ,2785042432.00 ,10991464448.00 ,11160678400.00 ,11087593472.00 ,2813374464.00 ,10903064576.00 ,2741465088.00 ,2898104320.00 ,2783870976.00 ,11180957696.00 ,2827603968.00 ,2755096576.00 ,2761584640.00 ,2780114944.00 ,11130183680.00 ,2776657920.00 ,2840027136.00 ,2677960704.00 ,,295244333056.00 
11:03:15,10231930880.00 ,2946998272.00 ,2754609152.00 ,2794876928.00 ,2735452160.00 ,2787237888.00 ,2806534144.00 ,2798804992.00 ,2773843968.00 ,2726588416.00 ,2723999744.00 ,10933059584.00 ,2655080448.00 ,2748129280.00 ,2760757248.00 ,2790793216.00 ,2832719872.00 ,4159422464.00 ,11480641536.00 ,2775375872.00 ,2773417984.00 ,2765594624.00 ,2808692736.00 ,2804633600.00 ,2781306880.00 ,11769954304.00 ,2834132992.00 ,2770939904.00 ,11038175232.00 ,2771501056.00 ,2759712768.00 ,2799345664.00 ,2754269184.00 ,2734772224.00 ,2596950016.00 ,2795528192.00 ,2790391808.00 ,11242250240.00 ,11332247552.00 ,2792108032.00 ,2824122368.00 ,11453792256.00 ,11096068096.00 ,2786091008.00 ,11036893184.00 ,11447926784.00 ,11090370560.00 ,2814009344.00 ,11075682304.00 ,2740785152.00 ,2899591168.00 ,2785398784.00 ,11302723584.00 ,2828562432.00 ,2755387392.00 ,2763677696.00 ,2781470720.00 ,11139211264.00 ,2776870912.00 ,2844868608.00 ,2680393728.00 ,,296856678400.00 
11:03:30,10247090176.00 ,2938851328.00 ,2755571712.00 ,2793062400.00 ,2730360832.00 ,2786324480.00 ,2806210560.00 ,2795208704.00 ,2774777856.00 ,2721849344.00 ,2722033664.00 ,11086426112.00 ,2653769728.00 ,2744713216.00 ,2755141632.00 ,2787164160.00 ,2830909440.00 ,4239568896.00 ,11472195584.00 ,2774880256.00 ,2772721664.00 ,2767818752.00 ,2808872960.00 ,2803990528.00 ,2775842816.00 ,11768958976.00 ,2833162240.00 ,2770649088.00 ,11262435328.00 ,2773573632.00 ,2757144576.00 ,2797289472.00 ,2750750720.00 ,2737295360.00 ,2593021952.00 ,2795180032.00 ,2787540992.00 ,11429691392.00 ,11405918208.00 ,2787856384.00 ,2825154560.00 ,11529850880.00 ,11240652800.00 ,2782793728.00 ,11225927680.00 ,11464163328.00 ,11286695936.00 ,2818207744.00 ,11251957760.00 ,2735341568.00 ,2896850944.00 ,2786656256.00 ,11408625664.00 ,2825932800.00 ,2763771904.00 ,2774171648.00 ,2784706560.00 ,11278630912.00 ,2794958848.00 ,2847756288.00 ,2679324672.00 ,,298597957632.00 
11:03:45,10244636672.00 ,2938777600.00 ,2766295040.00 ,2793086976.00 ,2732830720.00 ,2787921920.00 ,2804969472.00 ,2795909120.00 ,2776866816.00 ,2727526400.00 ,2723045376.00 ,11156828160.00 ,2652069888.00 ,2747277312.00 ,2753081344.00 ,2790252544.00 ,2834542592.00 ,4331651072.00 ,11619655680.00 ,2774749184.00 ,2770968576.00 ,2767282176.00 ,2807332864.00 ,2807054336.00 ,2779815936.00 ,11869442048.00 ,2831433728.00 ,2770886656.00 ,11331051520.00 ,2774433792.00 ,2758467584.00 ,2799505408.00 ,2751336448.00 ,2738106368.00 ,2605158400.00 ,2806644736.00 ,2789707776.00 ,11460571136.00 ,11561013248.00 ,2790572032.00 ,2821820416.00 ,11648806912.00 ,11347300352.00 ,2784047104.00 ,11331227648.00 ,11459969024.00 ,11296034816.00 ,2814111744.00 ,11247226880.00 ,2738470912.00 ,2900205568.00 ,2795118592.00 ,11538919424.00 ,2827153408.00 ,2755981312.00 ,2762305536.00 ,2784698368.00 ,11429203968.00 ,2779475968.00 ,2848550912.00 ,2681032704.00 ,,299914420224.00 
11:04:00,10263928832.00 ,2943729664.00 ,2761519104.00 ,2796019712.00 ,2732154880.00 ,2786664448.00 ,2805198848.00 ,2798706688.00 ,2771939328.00 ,2729148416.00 ,2723590144.00 ,11157745664.00 ,2655055872.00 ,2748547072.00 ,2755612672.00 ,2792108032.00 ,2834108416.00 ,4419846144.00 ,11691532288.00 ,2774634496.00 ,2773536768.00 ,2765815808.00 ,2809880576.00 ,2806910976.00 ,2779811840.00 ,11963879424.00 ,2831953920.00 ,2770661376.00 ,11314720768.00 ,2772123648.00 ,2758393856.00 ,2800689152.00 ,2753196032.00 ,2737135616.00 ,2594897920.00 ,2795474944.00 ,2794500096.00 ,11455901696.00 ,11622899712.00 ,2791170048.00 ,2819428352.00 ,11694665728.00 ,11350491136.00 ,2787737600.00 ,11321942016.00 ,11453100032.00 ,11292647424.00 ,2814296064.00 ,11254116352.00 ,2739716096.00 ,2901106688.00 ,2785402880.00 ,11572346880.00 ,2828038144.00 ,2756194304.00 ,2762653696.00 ,2782425088.00 ,11427524608.00 ,2778537984.00 ,2847891456.00 ,2680909824.00 ,,300286517248.00 
11:04:15,10252390400.00 ,2943868928.00 ,2761883648.00 ,2802274304.00 ,2731294720.00 ,2787106816.00 ,2805039104.00 ,2799112192.00 ,2773389312.00 ,2726682624.00 ,2723893248.00 ,11161960448.00 ,2653044736.00 ,2746277888.00 ,2754523136.00 ,2805714944.00 ,2845532160.00 ,4540059648.00 ,11706306560.00 ,2776305664.00 ,2779017216.00 ,2768166912.00 ,2807980032.00 ,2808315904.00 ,2777804800.00 ,11983642624.00 ,2833387520.00 ,2770657280.00 ,11329781760.00 ,2772819968.00 ,2758668288.00 ,2797408256.00 ,2754564096.00 ,2739576832.00 ,2596564992.00 ,2795020288.00 ,2795008000.00 ,11506470912.00 ,11639451648.00 ,2790768640.00 ,2820730880.00 ,11709571072.00 ,11346710528.00 ,2784571392.00 ,11320627200.00 ,11492814848.00 ,11294113792.00 ,2814259200.00 ,11248918528.00 ,2740756480.00 ,2902233088.00 ,2785697792.00 ,11564044288.00 ,2832633856.00 ,2755710976.00 ,2761035776.00 ,2781339648.00 ,11432636416.00 ,2782273536.00 ,2851151872.00 ,2684231680.00 ,,300607799296.00 
11:04:30,10348150784.00 ,2947833856.00 ,2761924608.00 ,2794508288.00 ,2732417024.00 ,2784854016.00 ,2806374400.00 ,2797404160.00 ,2774753280.00 ,2723328000.00 ,2729959424.00 ,11189665792.00 ,2653933568.00 ,2744283136.00 ,2754756608.00 ,2790174720.00 ,2829172736.00 ,4657274880.00 ,11688865792.00 ,2777206784.00 ,2771050496.00 ,2769936384.00 ,2811539456.00 ,2804674560.00 ,2777485312.00 ,11975987200.00 ,2834071552.00 ,2770092032.00 ,11328569344.00 ,2773032960.00 ,2755485696.00 ,2796097536.00 ,2754936832.00 ,2750767104.00 ,2591617024.00 ,2795454464.00 ,2792792064.00 ,11538681856.00 ,11636662272.00 ,2789896192.00 ,2820411392.00 ,11694186496.00 ,11409117184.00 ,2783121408.00 ,11338522624.00 ,11565703168.00 ,11340738560.00 ,2814988288.00 ,11306827776.00 ,2744434688.00 ,2895949824.00 ,2785918976.00 ,11577217024.00 ,2826878976.00 ,2752618496.00 ,2763448320.00 ,2786013184.00 ,11436355584.00 ,2781966336.00 ,2851676160.00 ,2685276160.00 ,,301067042816.00 
11:04:45,10240401408.00 ,2941308928.00 ,2764533760.00 ,2793693184.00 ,2734292992.00 ,2788610048.00 ,2805637120.00 ,2799865856.00 ,2775764992.00 ,2728636416.00 ,2730139648.00 ,11221065728.00 ,2653188096.00 ,2746765312.00 ,2753949696.00 ,2793226240.00 ,2834006016.00 ,4662534144.00 ,11688861696.00 ,2777374720.00 ,2771251200.00 ,2770821120.00 ,2809548800.00 ,2806448128.00 ,2779193344.00 ,11975786496.00 ,2835312640.00 ,2770149376.00 ,11326365696.00 ,2774949888.00 ,2758213632.00 ,2798034944.00 ,2755084288.00 ,2739826688.00 ,2594381824.00 ,2796699648.00 ,2794254336.00 ,11541852160.00 ,11631874048.00 ,2789675008.00 ,2821308416.00 ,11701252096.00 ,11391111168.00 ,2789117952.00 ,11326210048.00 ,11564388352.00 ,11340406784.00 ,2815676416.00 ,11305050112.00 ,2740809728.00 ,2907734016.00 ,2783027200.00 ,11568779264.00 ,2828861440.00 ,2756456448.00 ,2762752000.00 ,2784669696.00 ,11434414080.00 ,2780958720.00 ,2851483648.00 ,2684772352.00 ,,300992819200.00 
11:05:00,9681973248.00 ,2952863744.00 ,2762727424.00 ,2797670400.00 ,2734264320.00 ,2789928960.00 ,2806366208.00 ,2799996928.00 ,2775379968.00 ,2727022592.00 ,2731368448.00 ,2736746496.00 ,2654109696.00 ,2753425408.00 ,2754867200.00 ,2794106880.00 ,2834972672.00 ,2751410176.00 ,2671747072.00 ,2788175872.00 ,2773356544.00 ,2769178624.00 ,2806734848.00 ,2805637120.00 ,2780962816.00 ,2757013504.00 ,2849792000.00 ,2771759104.00 ,2660769792.00 ,2788179968.00 ,2758672384.00 ,2799153152.00 ,2755702784.00 ,2740318208.00 ,2596491264.00 ,2796507136.00 ,2795950080.00 ,2784206848.00 ,2806685696.00 ,2791358464.00 ,2820317184.00 ,2589569024.00 ,2751598592.00 ,2788429824.00 ,2588282880.00 ,2788167680.00 ,2575687680.00 ,2815062016.00 ,2523254784.00 ,2740625408.00 ,2897760256.00 ,2784681984.00 ,2785955840.00 ,2829062144.00 ,2754019328.00 ,2759348224.00 ,2779652096.00 ,2733043712.00 ,2780127232.00 ,2846171136.00 ,2684067840.00 ,,175302438912.00 
11:05:15,9683202048.00 ,2940231680.00 ,2762854400.00 ,2798174208.00 ,2734354432.00 ,2787876864.00 ,2805972992.00 ,2799288320.00 ,2775384064.00 ,2728329216.00 ,2732830720.00 ,2735943680.00 ,2653200384.00 ,2748280832.00 ,2755244032.00 ,2793754624.00 ,2836008960.00 ,2752409600.00 ,2670407680.00 ,2776928256.00 ,2775732224.00 ,2771640320.00 ,2807881728.00 ,2806837248.00 ,2780381184.00 ,2758115328.00 ,2837938176.00 ,2770698240.00 ,2660265984.00 ,2775240704.00 ,2760142848.00 ,2799509504.00 ,2757935104.00 ,2740801536.00 ,2596679680.00 ,2796335104.00 ,2794340352.00 ,2774073344.00 ,2804563968.00 ,2790895616.00 ,2824941568.00 ,2589523968.00 ,2752040960.00 ,2788679680.00 ,2588942336.00 ,2798546944.00 ,2575753216.00 ,2816135168.00 ,2523631616.00 ,2739593216.00 ,2898055168.00 ,2783739904.00 ,2784923648.00 ,2841907200.00 ,2753064960.00 ,2760953856.00 ,2782511104.00 ,2729201664.00 ,2779136000.00 ,2850852864.00 ,2684575744.00 ,,175277395968.00 
