Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,,,,,
15:15:00,10435657728.00 ,3752632320.00 ,3691999232.00 ,3569672192.00 ,3213410304.00 ,3125456896.00 ,3158724608.00 ,3253956608.00 ,3596107776.00 ,3132362752.00 ,3602493440.00 ,3173744640.00 ,3056783360.00 ,3162775552.00 ,3115905024.00 ,3210649600.00 ,3199778816.00 ,3657850880.00 ,6834925568.00 ,3181297664.00 ,3651821568.00 ,3589787648.00 ,3147857920.00 ,3175620608.00 ,3229016064.00 ,3186352128.00 ,3643248640.00 ,3168686080.00 ,3191734272.00 ,3117219840.00 ,3596369920.00 ,3612512256.00 ,3202052096.00 ,3650449408.00 ,3175931904.00 ,3125690368.00 ,3091427328.00 ,3221790720.00 ,3087110144.00 ,3586715648.00 ,3167485952.00 ,3143458816.00 ,7996715008.00 ,3138146304.00 ,3139117056.00 ,3210711040.00 ,3178430464.00 ,3623178240.00 ,3631149056.00 ,3681517568.00 ,3656114176.00 ,,185143603200.00 ,,,,
15:15:15,10434752512.00 ,8645107712.00 ,8901910528.00 ,10484002816.00 ,6800945152.00 ,6730354688.00 ,6976294912.00 ,7253925888.00 ,11343208448.00 ,6707720192.00 ,10651615232.00 ,6491570176.00 ,5195235328.00 ,6612029440.00 ,7138865152.00 ,7275192320.00 ,6650257408.00 ,10493063168.00 ,7050711040.00 ,7264968704.00 ,10507849728.00 ,11288883200.00 ,6826737664.00 ,6820589568.00 ,7268425728.00 ,7125241856.00 ,10989703168.00 ,5369110528.00 ,7264227328.00 ,6472916992.00 ,10818093056.00 ,10956034048.00 ,4890177536.00 ,11738931200.00 ,6085718016.00 ,7244550144.00 ,6201827328.00 ,7304798208.00 ,6709080064.00 ,11259461632.00 ,7393845248.00 ,7205818368.00 ,8177815552.00 ,7276752896.00 ,7381610496.00 ,6593482752.00 ,7184838656.00 ,10294812672.00 ,10301665280.00 ,9571897344.00 ,10579451904.00 ,,414206078976.00 ,,,,
15:15:30,10439061504.00 ,14203125760.00 ,11631624192.00 ,14243553280.00 ,8297537536.00 ,8191737856.00 ,8415477760.00 ,8814108672.00 ,14177972224.00 ,8147791872.00 ,13938593792.00 ,8238006272.00 ,8007499776.00 ,8178216960.00 ,8106483712.00 ,9115701248.00 ,7962652672.00 ,13900713984.00 ,8320770048.00 ,8323477504.00 ,14222147584.00 ,14029246464.00 ,8581455872.00 ,8474218496.00 ,8622342144.00 ,8475090944.00 ,14573223936.00 ,8124141568.00 ,8644628480.00 ,8099635200.00 ,14399123456.00 ,14651138048.00 ,8247906304.00 ,14003200000.00 ,8112713728.00 ,8271654912.00 ,7874072576.00 ,8362504192.00 ,8078471168.00 ,14214086656.00 ,8912261120.00 ,8502235136.00 ,8947077120.00 ,8105377792.00 ,8754434048.00 ,8277180416.00 ,8286781440.00 ,13806608384.00 ,13713985536.00 ,14068850688.00 ,14276460544.00 ,,524366360576.00 ,,,,
15:15:45,10432708608.00 ,18800676864.00 ,13789589504.00 ,18579398656.00 ,10233286656.00 ,10011439104.00 ,10503995392.00 ,10996969472.00 ,18126745600.00 ,9060265984.00 ,18005577728.00 ,10323693568.00 ,9823784960.00 ,10482077696.00 ,10163970048.00 ,11135684608.00 ,8749432832.00 ,18271158272.00 ,10406977536.00 ,10713468928.00 ,18681225216.00 ,18182389760.00 ,10517610496.00 ,10655813632.00 ,11080179712.00 ,10460659712.00 ,18751381504.00 ,10383474688.00 ,10605309952.00 ,9883959296.00 ,18145624064.00 ,18657579008.00 ,10446897152.00 ,18238640128.00 ,9857044480.00 ,10090586112.00 ,8522088448.00 ,10909511680.00 ,9882947584.00 ,18565242880.00 ,11140710400.00 ,10346225664.00 ,10149789696.00 ,10140975104.00 ,11181318144.00 ,10422300672.00 ,10367995904.00 ,18154450944.00 ,17361649664.00 ,18382835712.00 ,18322272256.00 ,,657099591680.00 ,,,,
15:16:00,10427027456.00 ,23047016448.00 ,16071311360.00 ,23128846336.00 ,12613156864.00 ,12161974272.00 ,12632719360.00 ,13120921600.00 ,22779625472.00 ,10815717376.00 ,22860570624.00 ,12437381120.00 ,11769561088.00 ,12905791488.00 ,12350521344.00 ,13429309440.00 ,10551296000.00 ,22749032448.00 ,12682211328.00 ,12890361856.00 ,23099080704.00 ,22632943616.00 ,12765679616.00 ,12833636352.00 ,13044568064.00 ,12664209408.00 ,23368077312.00 ,12446588928.00 ,12963610624.00 ,12278185984.00 ,22713307136.00 ,23223959552.00 ,12667801600.00 ,22385205248.00 ,11969830912.00 ,12353576960.00 ,10047033344.00 ,13196951552.00 ,12156203008.00 ,23202865152.00 ,13540487168.00 ,12690812928.00 ,12239478784.00 ,12286115840.00 ,13224722432.00 ,12564733952.00 ,12661841920.00 ,22623531008.00 ,21992943616.00 ,22697611264.00 ,22702923776.00 ,,802662871040.00 ,,,,
15:16:15,10439077888.00 ,27122958336.00 ,18255908864.00 ,27095732224.00 ,14397923328.00 ,14085980160.00 ,14803316736.00 ,14988333056.00 ,26525790208.00 ,12148199424.00 ,26581790720.00 ,14485397504.00 ,14031085568.00 ,14701707264.00 ,14404141056.00 ,15234154496.00 ,11931672576.00 ,26705895424.00 ,14788980736.00 ,14807490560.00 ,27036237824.00 ,26735788032.00 ,14587236352.00 ,14625308672.00 ,14849925120.00 ,14467887104.00 ,27208515584.00 ,14621184000.00 ,14745616384.00 ,14460342272.00 ,26544148480.00 ,27071381504.00 ,14822989824.00 ,26207383552.00 ,14146850816.00 ,14179147776.00 ,11694047232.00 ,15109787648.00 ,13990010880.00 ,27361701888.00 ,15321686016.00 ,14640209920.00 ,14067478528.00 ,14187438080.00 ,15637061632.00 ,14759587840.00 ,14638366720.00 ,26854035456.00 ,26057756672.00 ,26598817792.00 ,26862657536.00 ,,931626123264.00 ,,,,
15:16:30,10522943488.00 ,30683623424.00 ,19875807232.00 ,30437588992.00 ,16374308864.00 ,15982161920.00 ,16443011072.00 ,16713474048.00 ,30360788992.00 ,13499633664.00 ,30001889280.00 ,16200871936.00 ,15659859968.00 ,16513335296.00 ,16350547968.00 ,17062965248.00 ,13480693760.00 ,30186991616.00 ,16397160448.00 ,16820797440.00 ,30733225984.00 ,30174711808.00 ,16344006656.00 ,16433496064.00 ,16705355776.00 ,16515510272.00 ,30807453696.00 ,16590921728.00 ,16581042176.00 ,16075374592.00 ,30426996736.00 ,30585466880.00 ,16650166272.00 ,29935722496.00 ,15738847232.00 ,15974211584.00 ,13071777792.00 ,16722448384.00 ,15797710848.00 ,31026745344.00 ,17115795456.00 ,16579796992.00 ,15950364672.00 ,16191770624.00 ,17355878400.00 ,16602157056.00 ,16260067328.00 ,30058729472.00 ,29407277056.00 ,30002597888.00 ,30363176960.00 ,,1048347258880.00 ,,,,
15:16:45,9914413056.00 ,31548170240.00 ,20444676096.00 ,31390568448.00 ,16680550400.00 ,16292823040.00 ,16787861504.00 ,17303031808.00 ,31145553920.00 ,13732524032.00 ,31256375296.00 ,16572641280.00 ,16271970304.00 ,17075281920.00 ,16633933824.00 ,2747768832.00 ,13820035072.00 ,31386750976.00 ,17006317568.00 ,17123323904.00 ,31825711104.00 ,31045136384.00 ,16984125440.00 ,17015631872.00 ,17016541184.00 ,16761462784.00 ,31974715392.00 ,17161744384.00 ,16818110464.00 ,16685019136.00 ,30997606400.00 ,31656402944.00 ,2722390016.00 ,30178656256.00 ,16328749056.00 ,16258334720.00 ,13634183168.00 ,17097281536.00 ,16441073664.00 ,17071767552.00 ,17404243968.00 ,16892723200.00 ,16458223616.00 ,7982960640.00 ,2670084096.00 ,16903643136.00 ,16548577280.00 ,31563538432.00 ,30653943808.00 ,31176871936.00 ,31154065408.00 ,,1010218090496.00 ,,,,
15:17:00,9908166656.00 ,2843369472.00 ,2676068352.00 ,2671706112.00 ,2723151872.00 ,2658099200.00 ,2695819264.00 ,2782224384.00 ,2706137088.00 ,2657742848.00 ,2696167424.00 ,2702831616.00 ,2583527424.00 ,2692546560.00 ,2660712448.00 ,2758541312.00 ,2679869440.00 ,2747129856.00 ,2644758528.00 ,2712981504.00 ,2741944320.00 ,2672148480.00 ,2694762496.00 ,2720206848.00 ,2760249344.00 ,2716725248.00 ,2712096768.00 ,2713427968.00 ,2708418560.00 ,2675625984.00 ,2685984768.00 ,2718642176.00 ,2721271808.00 ,2734751744.00 ,2694230016.00 ,2682818560.00 ,2629722112.00 ,2756788224.00 ,2637524992.00 ,2665390080.00 ,2714484736.00 ,2664992768.00 ,2678616064.00 ,2657914880.00 ,2674597888.00 ,2729062400.00 ,2705457152.00 ,2717097984.00 ,2719727616.00 ,2753826816.00 ,2727366656.00 ,,144987426816.00 ,,,,
15:17:15,9956208640.00 ,2850164736.00 ,2673815552.00 ,2670051328.00 ,2724843520.00 ,2659221504.00 ,2695069696.00 ,2784382976.00 ,2706829312.00 ,2659164160.00 ,2693537792.00 ,2702667776.00 ,2585583616.00 ,2680360960.00 ,2658459648.00 ,2759233536.00 ,2677145600.00 ,2747752448.00 ,2643869696.00 ,2716545024.00 ,2752237568.00 ,2673004544.00 ,2695696384.00 ,2718822400.00 ,2752237568.00 ,2718429184.00 ,2712444928.00 ,2713309184.00 ,2694303744.00 ,2676084736.00 ,2680786944.00 ,2709118976.00 ,2723110912.00 ,2735382528.00 ,2692509696.00 ,2684383232.00 ,2628333568.00 ,2759536640.00 ,2634563584.00 ,2664783872.00 ,2712190976.00 ,2680811520.00 ,2674872320.00 ,2650624000.00 ,2668617728.00 ,2731704320.00 ,2702991360.00 ,2719019008.00 ,2715455488.00 ,2762706944.00 ,2737606656.00 ,,145020588032.00 ,,,,
