Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,,,,,
9:00:00,9742172160.00 ,2825883648.00 ,2679205888.00 ,2688598016.00 ,2749325312.00 ,2718732288.00 ,2726309888.00 ,2815541248.00 ,2733342720.00 ,2716999680.00 ,2711810048.00 ,2747781120.00 ,2591256576.00 ,2711318528.00 ,2690482176.00 ,2776084480.00 ,2727809024.00 ,2782646272.00 ,2690273280.00 ,2719133696.00 ,2742710272.00 ,2715054080.00 ,2713505792.00 ,2745581568.00 ,2762010624.00 ,2766336000.00 ,2721116160.00 ,2727469056.00 ,2733944832.00 ,2683969536.00 ,2718674944.00 ,2726367232.00 ,2747412480.00 ,2754846720.00 ,2734129152.00 ,2719379456.00 ,2678874112.00 ,2778615808.00 ,2679554048.00 ,2694934528.00 ,2744516608.00 ,2688880640.00 ,2724904960.00 ,2697388032.00 ,2697191424.00 ,2740215808.00 ,2723659776.00 ,2732634112.00 ,2766192640.00 ,2774585344.00 ,2741911552.00 ,,146121273344.00 ,,,,
9:00:15,9755242496.00 ,2842865664.00 ,2679271424.00 ,2689015808.00 ,2752184320.00 ,2698227712.00 ,2728669184.00 ,2817114112.00 ,2733842432.00 ,2726465536.00 ,2711265280.00 ,2747375616.00 ,2593456128.00 ,2715242496.00 ,2691133440.00 ,2774503424.00 ,2728923136.00 ,2789400576.00 ,2689314816.00 ,2719653888.00 ,2744557568.00 ,2716209152.00 ,2712571904.00 ,2747805696.00 ,2762510336.00 ,2767458304.00 ,2727288832.00 ,2739875840.00 ,2736943104.00 ,2694184960.00 ,2720772096.00 ,2729414656.00 ,2749005824.00 ,2756182016.00 ,2734059520.00 ,2719858688.00 ,2679967744.00 ,2785898496.00 ,2680193024.00 ,2695782400.00 ,2732597248.00 ,2688147456.00 ,2720370688.00 ,2698596352.00 ,2698792960.00 ,2744229888.00 ,2723397632.00 ,2736627712.00 ,2766049280.00 ,2777624576.00 ,2742353920.00 ,,146212495360.00 ,,,,
9:00:30,9752932352.00 ,2823176192.00 ,2676805632.00 ,2686418944.00 ,2749329408.00 ,2705825792.00 ,2724806656.00 ,2811305984.00 ,2736517120.00 ,2715344896.00 ,2708328448.00 ,2745982976.00 ,2595618816.00 ,2729656320.00 ,2687881216.00 ,2772652032.00 ,2725302272.00 ,2782949376.00 ,2685493248.00 ,2720186368.00 ,2740514816.00 ,2717548544.00 ,2711527424.00 ,2745507840.00 ,2760753152.00 ,2764038144.00 ,2722988032.00 ,2724040704.00 ,2736082944.00 ,2682331136.00 ,2715275264.00 ,2722344960.00 ,2748489728.00 ,2754891776.00 ,2731548672.00 ,2716516352.00 ,2678104064.00 ,2785050624.00 ,2677555200.00 ,2693181440.00 ,2731155456.00 ,2684502016.00 ,2715238400.00 ,2694447104.00 ,2694021120.00 ,2742939648.00 ,2719035392.00 ,2737307648.00 ,2769100800.00 ,2775363584.00 ,2739318784.00 ,,146067234816.00 ,,,,
9:00:45,9759252480.00 ,2816147456.00 ,2680471552.00 ,2689441792.00 ,2750844928.00 ,2696675328.00 ,2725076992.00 ,2816380928.00 ,2738356224.00 ,2715758592.00 ,2713137152.00 ,2744848384.00 ,2594127872.00 ,2714480640.00 ,2692136960.00 ,2774769664.00 ,2728759296.00 ,2782617600.00 ,2687717376.00 ,2719313920.00 ,2743738368.00 ,2716676096.00 ,2715557888.00 ,2747600896.00 ,2763538432.00 ,2767523840.00 ,2725601280.00 ,2728169472.00 ,2736345088.00 ,2686492672.00 ,2718785536.00 ,2725019648.00 ,2751447040.00 ,2756579328.00 ,2733588480.00 ,2719268864.00 ,2691469312.00 ,2784854016.00 ,2681761792.00 ,2703368192.00 ,2731622400.00 ,2693877760.00 ,2720489472.00 ,2699943936.00 ,2696200192.00 ,2745249792.00 ,2734010368.00 ,2736607232.00 ,2766082048.00 ,2777784320.00 ,2738511872.00 ,,146178080768.00 ,,,,
9:01:00,9736581120.00 ,2831003648.00 ,2679517184.00 ,2690125824.00 ,2757181440.00 ,2709590016.00 ,2730422272.00 ,2816868352.00 ,2733662208.00 ,2717511680.00 ,2714251264.00 ,2746953728.00 ,2598146048.00 ,2713550848.00 ,2691194880.00 ,2774077440.00 ,2726129664.00 ,2783203328.00 ,2688405504.00 ,2722664448.00 ,2744655872.00 ,2722406400.00 ,2713362432.00 ,2749390848.00 ,2765467648.00 ,2768441344.00 ,2728816640.00 ,2727264256.00 ,2738008064.00 ,2686398464.00 ,2720305152.00 ,2727936000.00 ,2753302528.00 ,2767822848.00 ,2734342144.00 ,2720264192.00 ,2683088896.00 ,2780717056.00 ,2680438784.00 ,2695344128.00 ,2733174784.00 ,2688512000.00 ,2722258944.00 ,2700775424.00 ,2696941568.00 ,2741772288.00 ,2723799040.00 ,2736459776.00 ,2768162816.00 ,2778193920.00 ,2740809728.00 ,,146199674880.00 ,,,,
9:01:15,9760575488.00 ,2816462848.00 ,2681511936.00 ,2692771840.00 ,2754392064.00 ,2700181504.00 ,2730332160.00 ,2817314816.00 ,2737410048.00 ,2717634560.00 ,2714714112.00 ,2747936768.00 ,2597068800.00 ,2716794880.00 ,2691977216.00 ,2774753280.00 ,2729299968.00 ,2786267136.00 ,2689474560.00 ,2735890432.00 ,2746986496.00 ,2722062336.00 ,2715136000.00 ,2748923904.00 ,2765537280.00 ,2768154624.00 ,2728067072.00 ,2729185280.00 ,2737061888.00 ,2686337024.00 ,2721034240.00 ,2728415232.00 ,2755760128.00 ,2758766592.00 ,2733547520.00 ,2720772096.00 ,2683359232.00 ,2787192832.00 ,2681094144.00 ,2698493952.00 ,2733199360.00 ,2687758336.00 ,2722234368.00 ,2712829952.00 ,2696773632.00 ,2744819712.00 ,2724597760.00 ,2737274880.00 ,2768662528.00 ,2778021888.00 ,2749939712.00 ,,146264764416.00 ,,,,
9:01:30,9761923072.00 ,2817331200.00 ,2679230464.00 ,2689409024.00 ,2752827392.00 ,2709909504.00 ,2741641216.00 ,2819919872.00 ,2735816704.00 ,2720505856.00 ,2713722880.00 ,2743599104.00 ,2595250176.00 ,2714927104.00 ,2692026368.00 ,2773721088.00 ,2725515264.00 ,2784587776.00 ,2688172032.00 ,2719879168.00 ,2742312960.00 ,2721337344.00 ,2710040576.00 ,2746597376.00 ,2763264000.00 ,2765520896.00 ,2725732352.00 ,2726481920.00 ,2739851264.00 ,2685202432.00 ,2718302208.00 ,2724347904.00 ,2754793472.00 ,2757443584.00 ,2732625920.00 ,2718109696.00 ,2679226368.00 ,2787295232.00 ,2678247424.00 ,2696282112.00 ,2733645824.00 ,2684936192.00 ,2718248960.00 ,2698960896.00 ,2695188480.00 ,2744475648.00 ,2720718848.00 ,2736193536.00 ,2766761984.00 ,2775293952.00 ,2742132736.00 ,,146169487360.00 ,,,,
9:01:45,9761120256.00 ,2831224832.00 ,2680451072.00 ,2690359296.00 ,2756722688.00 ,2697216000.00 ,2730438656.00 ,2833289216.00 ,2737487872.00 ,2718724096.00 ,2713006080.00 ,2746482688.00 ,2595586048.00 ,2716463104.00 ,2699128832.00 ,2775666688.00 ,2731905024.00 ,2787360768.00 ,2689052672.00 ,2722877440.00 ,2761547776.00 ,2723606528.00 ,2713784320.00 ,2750226432.00 ,2764402688.00 ,2769965056.00 ,2738204672.00 ,2728714240.00 ,2738847744.00 ,2687246336.00 ,2718900224.00 ,2725908480.00 ,2756620288.00 ,2759364608.00 ,2734096384.00 ,2730352640.00 ,2681122816.00 ,2786906112.00 ,2695131136.00 ,2697768960.00 ,2736242688.00 ,2687295488.00 ,2720481280.00 ,2701787136.00 ,2697863168.00 ,2745135104.00 ,2720944128.00 ,2749399040.00 ,2767364096.00 ,2779164672.00 ,2748223488.00 ,,146331181056.00 ,,,,
9:02:00,9749155840.00 ,2817703936.00 ,2680463360.00 ,2691067904.00 ,2757099520.00 ,2707230720.00 ,2738515968.00 ,2822475776.00 ,2733940736.00 ,2717073408.00 ,2722897920.00 ,2758881280.00 ,2595741696.00 ,2714411008.00 ,2694717440.00 ,2776682496.00 ,2731253760.00 ,2785296384.00 ,2690863104.00 ,2723192832.00 ,2744979456.00 ,2722471936.00 ,2713546752.00 ,2748809216.00 ,2767773696.00 ,2769334272.00 ,2727260160.00 ,2728853504.00 ,2739572736.00 ,2687180800.00 ,2731044864.00 ,2729533440.00 ,2770100224.00 ,2759942144.00 ,2731982848.00 ,2723450880.00 ,2684694528.00 ,2781564928.00 ,2678939648.00 ,2698104832.00 ,2734657536.00 ,2689368064.00 ,2720534528.00 ,2701479936.00 ,2699444224.00 ,2744983552.00 ,2725617664.00 ,2737057792.00 ,2768404480.00 ,2778017792.00 ,2745499648.00 ,,146292871168.00 ,,,,
9:02:15,9760124928.00 ,2815291392.00 ,2683449344.00 ,2705018880.00 ,2756173824.00 ,2699538432.00 ,2731708416.00 ,2821795840.00 ,2737491968.00 ,2721697792.00 ,2717016064.00 ,2760310784.00 ,2599428096.00 ,2716024832.00 ,2696052736.00 ,2778501120.00 ,2726604800.00 ,2787151872.00 ,2692829184.00 ,2723540992.00 ,2748243968.00 ,2724081664.00 ,2715082752.00 ,2750705664.00 ,2767613952.00 ,2772971520.00 ,2730352640.00 ,2729869312.00 ,2739601408.00 ,2688950272.00 ,2722799616.00 ,2726617088.00 ,2755362816.00 ,2761654272.00 ,2746118144.00 ,2725138432.00 ,2683162624.00 ,2785030144.00 ,2682003456.00 ,2702135296.00 ,2738970624.00 ,2694590464.00 ,2721554432.00 ,2703802368.00 ,2700914688.00 ,2759843840.00 ,2726858752.00 ,2741043200.00 ,2767302656.00 ,2776694784.00 ,2743369728.00 ,,146362191872.00 ,,,,
