Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-6/used,emr-worker-60/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-7/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-8/used,emr-worker-9/used,,,,,,
14:30:00,9836224512,3263352832,2797674496,2750615552,2742030336,2713702400,2745466880,2779668480,2716499968,2551291904,2790010880,2796347392,2738540544,2764099584,2764222464,2756386816,2737369088,2729037824,2744745984,2737156096,2761043968,2780008448,2818945024,2745741312,2720612352,2709336064,2761564160,2741747712,2781790208,2753167360,2634665984,2703470592,2724151296,2739572736,2712657920,2779996160,2725924864,2815586304,2729889792,2700013568,2754490368,2703462400,2734411776,2756026368,2738167808,2776928256,2774835200,2734489600,2760638464,2792816640,2770386944,2761289728,2759987200,2743529472,2777419776,2728116224,2829918208,2774249472,2768363520,2762006528,2717368320,2708979712,2707791872,2735849472,2785271808,2762641408,2765709312,2753724416,2570022912,2752737280,2692923392,2741731328,2750201856,2767269888,2729762816,2735833088,,2.16174E+11,,,,
14:30:15,9806532608,3254935552,2797395968,2754404352,2741915648,2712260608,2744709120,2782093312,2719948800,2552233984,2796261376,2798084096,2741497856,2763923456,2767187968,2757632000,2747379712,2728837120,2744659968,2739703808,2764271616,2781470720,2817744896,2747113472,2722504704,2708168704,2761789440,2740948992,2783559680,2766184448,2632335360,2705514496,2725584896,2750836736,2713255936,2783936512,2728050688,2815262720,2731294720,2706210816,2754834432,2704199680,2732867584,2761142272,2722938880,2777202688,2775400448,2734874624,2763644928,2791567360,2772217856,2755112960,2761809920,2745503744,2786676736,2730868736,2829709312,2775506944,2773155840,2759589888,2718015488,2709663744,2707955712,2736070656,2775007232,2762014720,2751737856,2755457024,2571309056,2753257472,2696990720,2746224640,2753323008,2765869056,2729844736,2739093504,,2.16218E+11,,,,
14:30:30,9809375232,3267272704,2797805568,2754326528,2744913920,2715000832,2747088896,2781392896,2720067584,2553053184,2788188160,2796920832,2741583872,2763038720,2766303232,2758131712,2739068928,2729771008,2746347520,2739204096,2766798848,2778263552,2818719744,2749440000,2717986816,2709176320,2761445376,2742231040,2781712384,2754371584,2634481664,2703847424,2725322752,2739150848,2712498176,2783064064,2729140224,2816380928,2730729472,2699345920,2756038656,2704539648,2736840704,2757828608,2725597184,2776616960,2774507520,2737115136,2762854400,2794639360,2770509824,2754195456,2761228288,2747170816,2774573056,2729730048,2830929920,2778406912,2770640896,2759753728,2717618176,2708774912,2723655680,2733436928,2775724032,2760306688,2750885888,2756493312,2570739712,2751840256,2697973760,2745659392,2752172032,2768125952,2728800256,2737975296,,2.16197E+11,,,,
14:30:45,9808031744,3267362816,2799202304,2753794048,2742050816,2718625792,2760130560,2781179904,2717392896,2553827328,2789617664,2795737088,2739130368,2769223680,2768957440,2755121152,2738982912,2730192896,2746753024,2739167232,2766319616,2782965760,2817069056,2745266176,2719690752,2705035264,2760728576,2742902784,2786197504,2755186688,2640855040,2705850368,2723975168,2741731328,2713182208,2783285248,2727727104,2817232896,2730881024,2701676544,2756853760,2704691200,2747191296,2759786496,2725826560,2776932352,2774712320,2733916160,2761293824,2794999808,2774142976,2755534848,2760929280,2747228160,2776612864,2730934272,2833170432,2778357760,2769543168,2760896512,2716450816,2709573632,2706087936,2732802048,2774855680,2761801728,2751627264,2760720384,2569654272,2752524288,2696261632,2747027456,2752913408,2772094976,2730848256,2736603136,,2.16238E+11,,,,
14:31:00,9802883072,3265224704,2798956544,2756030464,2742992896,2716508160,2749009920,2780950528,2720075776,2559213568,2791747584,2815348736,2739920896,2769489920,2766635008,2757021696,2739073024,2731270144,2746351616,2737733632,2765901824,2782531584,2831163392,2747121664,2723610624,2708504576,2762600448,2743943168,2786496512,2757136384,2636177408,2705121280,2723966976,2742296576,2714517504,2782187520,2728636416,2819440640,2738229248,2701979648,2756145152,2704834560,2737676288,2760536064,2725240832,2778234880,2775621632,2733846528,2764079104,2795909120,2772803584,2757017600,2762735616,2760204288,2775478272,2729844736,2834100224,2779095040,2772799488,2764193792,2714947584,2711105536,2707963904,2735775744,2774470656,2764824576,2751787008,2758230016,2571071488,2754695168,2696904704,2745987072,2754203648,2774646784,2740314112,2737213440,,2.16323E+11,,,,
14:31:15,9797607424,3261427712,2798497792,2754961408,2746871808,2715979776,2750230528,2782162944,2720444416,2552553472,2793291776,2800562176,2742435840,2769813504,2769629184,2757840896,2739822592,2729250816,2747428864,2740318208,2772004864,2783588352,2819833856,2761043968,2722111488,2707689472,2763935744,2743599104,2783887360,2757812224,2634776576,2717302784,2727391232,2743914496,2717138944,2785615872,2726158336,2821771264,2732134400,2703101952,2755784704,2702467072,2738122752,2768367616,2725928960,2779709440,2776150016,2735800320,2766163968,2800365568,2775531520,2757791744,2764996608,2750447616,2777710592,2731687936,2834923520,2781663232,2772160512,2761289728,2716483584,2714529792,2708668416,2737135616,2777309184,2764787712,2751229952,2759348224,2575478784,2753286144,2697035776,2747092992,2754338816,2777194496,2732961792,2737864704,,2.16358E+11,,,,
14:31:30,9797619712,3264798720,2797854720,2754519040,2743627776,2730094592,2749972480,2781974528,2721579008,2551435264,2793156608,2802397184,2753130496,2768941056,2769772544,2757922816,2739183616,2730299392,2747322368,2740236288,2766635008,2793271296,2818887680,2750341120,2721931264,2707841024,2763243520,2742710272,2783932416,2758168576,2637115392,2706329600,2725666816,2741870592,2725793792,2781937664,2726715392,2820325376,2735239168,2703056896,2786349056,2705682432,2738405376,2762604544,2725867520,2775601152,2774601728,2735751168,2766573568,2795233280,2775719936,2759356416,2764623872,2746458112,2776453120,2730340352,2832936960,2781184000,2772684800,2761936896,2725928960,2713755648,2709508096,2739326976,2778550272,2773213184,2751168512,2759507968,2574274560,2753421312,2699186176,2747015168,2768154624,2775740416,2732666880,2749313024,,2.16426E+11,,,,
14:31:45,9809338368,3267637248,2799493120,2757697536,2746859520,2714820608,2749210624,2782629888,2735841280,2555621376,2792456192,2800717824,2740346880,2766606336,2768945152,2759000064,2739761152,2731716608,2746290176,2739920896,2772901888,2790027264,2821234688,2745618432,2721013760,2707456000,2763632640,2744320000,2786013184,2761060352,2635546624,2706747392,2726891520,2744385536,2715652096,2786066432,2727411712,2821935104,2733371392,2704035840,2760724480,2706710528,2737360896,2762993664,2725900288,2778308608,2774777856,2735312896,2763452416,2795507712,2774339584,2757451776,2763788288,2753400832,2777694208,2739068928,2835906560,2781495296,2772271104,2761498624,2715402240,2716311552,2708926464,2737491968,2777436160,2763509760,2747719680,2760900608,2571128832,2754830336,2703089664,2746327040,2757476352,2772217856,2733678592,2737881088,,2.16383E+11,,,,
14:32:00,9855250432,3250073600,2799550464,2759020544,2746155008,2715701248,2748493824,2782998528,2723344384,2553298944,2793664512,2801397760,2744258560,2769453056,2769289216,2757279744,2739793920,2731278336,2745909248,2740146176,2768072704,2783330304,2821042176,2750267392,2722062336,2707865600,2763771904,2746413056,2785447936,2758451200,2639474688,2706370560,2728648704,2744266752,2717102080,2784399360,2728402944,2820321280,2733129728,2704408576,2758213632,2711191552,2741727232,2762440704,2727227392,2778263552,2773102592,2735271936,2766209024,2794307584,2775121920,2755645440,2771103744,2751729664,2777837568,2732244992,2835365888,2779095040,2772492288,2760048640,2716291072,2714583040,2708058112,2736119808,2779463680,2764279808,2749079552,2760183808,2575106048,2755829760,2703327232,2745286656,2766360576,2776674304,2734845952,2738434048,,2.16422E+11,,,,
14:32:15,9804529664,3253284864,2799943680,2758705152,2746945536,2718175232,2749919232,2798792704,2722996224,2548473856,2795069440,2801930240,2747703296,2769747968,2773356544,2760904704,2741825536,2732085248,2752983040,2743070720,2768617472,2784747520,2823843840,2749759488,2718011392,2711166976,2767339520,2757365760,2798583808,2761134080,2639319040,2709483520,2730315776,2745544704,2720165888,2786287616,2733879296,2820284416,2735411200,2706894848,2759069696,2711703552,2740473856,2759806976,2727804928,2781839360,2774847488,2736672768,2769276928,2789138432,2784059392,2757885952,2766397440,2752724992,2779848704,2733604864,2838081536,2782498816,2765406208,2771169280,2720149504,2718728192,2710884352,2740080640,2778787840,2766417920,2751033344,2761654272,2574237696,2764570624,2703003648,2746241024,2760396800,2775515136,2735337472,2741682176,,2.1652E+11,,,,
