Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-122/used,emr-worker-123/used,emr-worker-124/used,emr-worker-125/used,emr-worker-126/used,emr-worker-127/used,emr-worker-128/used,emr-worker-129/used,emr-worker-130/used,emr-worker-131/used,emr-worker-132/used,emr-worker-133/used,emr-worker-134/used,emr-worker-135/used,emr-worker-136/used,emr-worker-137/used,emr-worker-138/used,emr-worker-139/used,emr-worker-140/used,emr-worker-141/used,emr-worker-142/used,emr-worker-143/used,emr-worker-144/used,emr-worker-145/used,emr-worker-146/used,emr-worker-147/used,emr-worker-148/used,emr-worker-149/used,emr-worker-150/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
18:30:00,2859577344.00 ,2796863488.00 ,2801516544.00 ,2892554240.00 ,2798632960.00 ,2882609152.00 ,2784051200.00 ,2830561280.00 ,2727686144.00 ,2820538368.00 ,2815197184.00 ,2802184192.00 ,2789597184.00 ,2813685760.00 ,2749337600.00 ,2803060736.00 ,2763063296.00 ,2764619776.00 ,2787528704.00 ,2779844608.00 ,2743406592.00 ,2819141632.00 ,2827202560.00 ,2804781056.00 ,2764075008.00 ,2718179328.00 ,2781257728.00 ,2831114240.00 ,2650525696.00 ,2741882880.00 ,2791440384.00 ,2806927360.00 ,2790711296.00 ,2824441856.00 ,2847662080.00 ,2825314304.00 ,2791960576.00 ,2770456576.00 ,2716504064.00 ,2758524928.00 ,2812985344.00 ,2842910720.00 ,2781007872.00 ,2778230784.00 ,2804199424.00 ,2806693888.00 ,2820214784.00 ,2809806848.00 ,2758250496.00 ,2787561472.00 ,2763501568.00 ,2770190336.00 ,2741133312.00 ,2758078464.00 ,2795593728.00 ,2738114560.00 ,2658590720.00 ,2722426880.00 ,2779529216.00 ,2736275456.00 ,2740084736.00 ,2744614912.00 ,2801795072.00 ,2755706880.00 ,2780184576.00 ,2730835968.00 ,2613223424.00 ,2786603008.00 ,2765611008.00 ,2809499648.00 ,2719948800.00 ,2798755840.00 ,2712428544.00 ,2753654784.00 ,2774507520.00 ,,208420970496.00 
18:30:15,2861010944.00 ,2796101632.00 ,2803236864.00 ,2895224832.00 ,2799321088.00 ,2889068544.00 ,2784989184.00 ,2834391040.00 ,2730909696.00 ,2821021696.00 ,2814722048.00 ,2803400704.00 ,2789400576.00 ,2817892352.00 ,2748096512.00 ,2804011008.00 ,2755383296.00 ,2778767360.00 ,2787528704.00 ,2783559680.00 ,2747133952.00 ,2820124672.00 ,2827378688.00 ,2805022720.00 ,2765484032.00 ,2719948800.00 ,2779586560.00 ,2832928768.00 ,2650345472.00 ,2740858880.00 ,2794434560.00 ,2806812672.00 ,2786791424.00 ,2823307264.00 ,2840031232.00 ,2825953280.00 ,2792169472.00 ,2770042880.00 ,2720305152.00 ,2758082560.00 ,2811998208.00 ,2843521024.00 ,2777866240.00 ,2778800128.00 ,2806865920.00 ,2807984128.00 ,2832936960.00 ,2810155008.00 ,2757541888.00 ,2780999680.00 ,2766532608.00 ,2766233600.00 ,2745376768.00 ,2755035136.00 ,2788499456.00 ,2744930304.00 ,2654711808.00 ,2719039488.00 ,2780233728.00 ,2734915584.00 ,2757505024.00 ,2742497280.00 ,2795749376.00 ,2762616832.00 ,2776903680.00 ,2728943616.00 ,2614198272.00 ,2782437376.00 ,2769711104.00 ,2805342208.00 ,2725240832.00 ,2788790272.00 ,2718892032.00 ,2762321920.00 ,2775453696.00 ,,208475561984.00 
18:30:30,2852093952.00 ,2799902720.00 ,2803511296.00 ,2893877248.00 ,2800013312.00 ,2883489792.00 ,2801684480.00 ,2831564800.00 ,2731503616.00 ,2851381248.00 ,2804555776.00 ,2793975808.00 ,2781839360.00 ,2815696896.00 ,2739695616.00 ,2794491904.00 ,2754998272.00 ,2767548416.00 ,2785566720.00 ,2782126080.00 ,2749915136.00 ,2819698688.00 ,2816688128.00 ,2804195328.00 ,2769108992.00 ,2719502336.00 ,2782937088.00 ,2832408576.00 ,2645901312.00 ,2733047808.00 ,2793385984.00 ,2802548736.00 ,2786791424.00 ,2824171520.00 ,2845773824.00 ,2824724480.00 ,2780372992.00 ,2778189824.00 ,2719191040.00 ,2758619136.00 ,2805542912.00 ,2835595264.00 ,2778112000.00 ,2779123712.00 ,2808229888.00 ,2796802048.00 ,2808360960.00 ,2810314752.00 ,2762522624.00 ,2782744576.00 ,2769866752.00 ,2770735104.00 ,2738520064.00 ,2755592192.00 ,2788278272.00 ,2739859456.00 ,2654830592.00 ,2715009024.00 ,2782150656.00 ,2738503680.00 ,2739093504.00 ,2742132736.00 ,2789392384.00 ,2755072000.00 ,2775625728.00 ,2727723008.00 ,2613321728.00 ,2781175808.00 ,2760699904.00 ,2804035584.00 ,2713989120.00 ,2789822464.00 ,2712965120.00 ,2751225856.00 ,2773618688.00 ,,208307277824.00 
18:30:45,2852999168.00 ,2786402304.00 ,2804989952.00 ,2887606272.00 ,2802515968.00 ,2874966016.00 ,2790309888.00 ,2818830336.00 ,2722803712.00 ,2827517952.00 ,2816282624.00 ,2808000512.00 ,2793611264.00 ,2805514240.00 ,2739531776.00 ,2804510720.00 ,2755289088.00 ,2761445376.00 ,2780073984.00 ,2784509952.00 ,2759782400.00 ,2812325888.00 ,2825949184.00 ,2805981184.00 ,2765623296.00 ,2709585920.00 ,2787442688.00 ,2832871424.00 ,2645368832.00 ,2746986496.00 ,2786000896.00 ,2811449344.00 ,2783240192.00 ,2829230080.00 ,2845302784.00 ,2816983040.00 ,2795536384.00 ,2761838592.00 ,2713251840.00 ,2772803584.00 ,2805256192.00 ,2844401664.00 ,2787098624.00 ,2772910080.00 ,2810228736.00 ,2809520128.00 ,2821238784.00 ,2802638848.00 ,2761535488.00 ,2784825344.00 ,2773344256.00 ,2761965568.00 ,2737807360.00 ,2752872448.00 ,2787500032.00 ,2738352128.00 ,2658443264.00 ,2716508160.00 ,2778968064.00 ,2737991680.00 ,2738913280.00 ,2742886400.00 ,2786451456.00 ,2754613248.00 ,2775498752.00 ,2728742912.00 ,2614538240.00 ,2781618176.00 ,2758508544.00 ,2802192384.00 ,2717356032.00 ,2787348480.00 ,2712813568.00 ,2751385600.00 ,2772537344.00 ,,208294076416.00 
18:31:00,2852646912.00 ,2804064256.00 ,2813509632.00 ,2912210944.00 ,2812321792.00 ,2883842048.00 ,2780794880.00 ,2834878464.00 ,2734137344.00 ,2813440000.00 ,2805399552.00 ,2797924352.00 ,2784587776.00 ,2810748928.00 ,2752008192.00 ,2796396544.00 ,2766254080.00 ,2771996672.00 ,2781589504.00 ,2793611264.00 ,2739380224.00 ,2824515584.00 ,2819080192.00 ,2817097728.00 ,2776891392.00 ,2709684224.00 ,2773168128.00 ,2844815360.00 ,2644733952.00 ,2735935488.00 ,2787753984.00 ,2810445824.00 ,2792718336.00 ,2816905216.00 ,2835005440.00 ,2816299008.00 ,2787741696.00 ,2775085056.00 ,2716225536.00 ,2779344896.00 ,2805268480.00 ,2837884928.00 ,2769240064.00 ,2784247808.00 ,2813325312.00 ,2812715008.00 ,2809856000.00 ,2817069056.00 ,2783465472.00 ,2772234240.00 ,2760228864.00 ,2761859072.00 ,2737180672.00 ,2755264512.00 ,2785148928.00 ,2739949568.00 ,2658619392.00 ,2715144192.00 ,2780049408.00 ,2737037312.00 ,2736906240.00 ,2741383168.00 ,2790273024.00 ,2756702208.00 ,2776510464.00 ,2728382464.00 ,2614030336.00 ,2781978624.00 ,2759888896.00 ,2803761152.00 ,2714738688.00 ,2786357248.00 ,2713141248.00 ,2751418368.00 ,2772766720.00 ,,208369217536.00 
18:31:15,2852888576.00 ,2790473728.00 ,2794938368.00 ,2887589888.00 ,2794635264.00 ,2879762432.00 ,2782801920.00 ,2825228288.00 ,2722988032.00 ,2812825600.00 ,2807394304.00 ,2798796800.00 ,2784505856.00 ,2808750080.00 ,2740314112.00 ,2795876352.00 ,2751406080.00 ,2761924608.00 ,2780934144.00 ,2777874432.00 ,2742460416.00 ,2815922176.00 ,2818322432.00 ,2800353280.00 ,2764595200.00 ,2716041216.00 ,2776088576.00 ,2825134080.00 ,2658537472.00 ,2739621888.00 ,2785701888.00 ,2801217536.00 ,2781872128.00 ,2827403264.00 ,2835480576.00 ,2828226560.00 ,2786377728.00 ,2764386304.00 ,2722349056.00 ,2753748992.00 ,2807590912.00 ,2840133632.00 ,2771382272.00 ,2772635648.00 ,2799505408.00 ,2799476736.00 ,2811510784.00 ,2806620160.00 ,2752528384.00 ,2775511040.00 ,2763747328.00 ,2761588736.00 ,2738712576.00 ,2752700416.00 ,2787872768.00 ,2739703808.00 ,2662846464.00 ,2715639808.00 ,2782068736.00 ,2736082944.00 ,2738937856.00 ,2742808576.00 ,2790559744.00 ,2756517888.00 ,2776518656.00 ,2727112704.00 ,2615877632.00 ,2781302784.00 ,2761224192.00 ,2803916800.00 ,2714587136.00 ,2789834752.00 ,2714001408.00 ,2751209472.00 ,2771755008.00 ,,208109772800.00 
18:31:30,2849452032.00 ,2792132608.00 ,2799566848.00 ,2888990720.00 ,2797326336.00 ,2877419520.00 ,2782965760.00 ,2837598208.00 ,2736562176.00 ,2807894016.00 ,2804649984.00 ,2811723776.00 ,2783997952.00 ,2804056064.00 ,2741395456.00 ,2791149568.00 ,2753945600.00 ,2765021184.00 ,2782543872.00 ,2776342528.00 ,2743726080.00 ,2815602688.00 ,2815004672.00 ,2798772224.00 ,2774171648.00 ,2714882048.00 ,2776199168.00 ,2835898368.00 ,2647339008.00 ,2735108096.00 ,2785857536.00 ,2804334592.00 ,2783801344.00 ,2819043328.00 ,2854219776.00 ,2817474560.00 ,2784718848.00 ,2767278080.00 ,2714939392.00 ,2754973696.00 ,2819018752.00 ,2836008960.00 ,2771984384.00 ,2772140032.00 ,2800955392.00 ,2796703744.00 ,2808750080.00 ,2807431168.00 ,2754650112.00 ,2776694784.00 ,2763530240.00 ,2763403264.00 ,2740113408.00 ,2754379776.00 ,2785800192.00 ,2739105792.00 ,2658529280.00 ,2716794880.00 ,2781061120.00 ,2737102848.00 ,2740699136.00 ,2742218752.00 ,2789404672.00 ,2755342336.00 ,2777321472.00 ,2727510016.00 ,2615607296.00 ,2779283456.00 ,2760982528.00 ,2809143296.00 ,2715967488.00 ,2788597760.00 ,2710671360.00 ,2750656512.00 ,2772393984.00 ,,208148037632.00 
18:31:45,2851553280.00 ,2786582528.00 ,2798108672.00 ,2889830400.00 ,2793562112.00 ,2891603968.00 ,2784190464.00 ,2820939776.00 ,2722283520.00 ,2814177280.00 ,2806460416.00 ,2795900928.00 ,2784268288.00 ,2806038528.00 ,2740400128.00 ,2795515904.00 ,2751954944.00 ,2763763712.00 ,2783481856.00 ,2778607616.00 ,2742087680.00 ,2812628992.00 ,2817974272.00 ,2798252032.00 ,2765574144.00 ,2713362432.00 ,2777493504.00 ,2821025792.00 ,2645417984.00 ,2735976448.00 ,2782810112.00 ,2800357376.00 ,2782519296.00 ,2817454080.00 ,2836062208.00 ,2820845568.00 ,2785636352.00 ,2765008896.00 ,2713612288.00 ,2755178496.00 ,2806579200.00 ,2837520384.00 ,2771230720.00 ,2771496960.00 ,2803326976.00 ,2799607808.00 ,2812735488.00 ,2805260288.00 ,2751885312.00 ,2777411584.00 ,2763390976.00 ,2759757824.00 ,2744070144.00 ,2754011136.00 ,2788573184.00 ,2743144448.00 ,2664820736.00 ,2728222720.00 ,2779000832.00 ,2743947264.00 ,2738040832.00 ,2741833728.00 ,2790236160.00 ,2760278016.00 ,2774855680.00 ,2731577344.00 ,2613649408.00 ,2794496000.00 ,2764009472.00 ,2812878848.00 ,2723835904.00 ,2800136192.00 ,2711007232.00 ,2749472768.00 ,2782281728.00 ,,208143085568.00 
18:32:00,2852560896.00 ,2795888640.00 ,2808229888.00 ,2887909376.00 ,2798637056.00 ,2883776512.00 ,2784817152.00 ,2823049216.00 ,2725236736.00 ,2814177280.00 ,2806915072.00 ,2796920832.00 ,2783539200.00 ,2807795712.00 ,2741006336.00 ,2809761792.00 ,2755354624.00 ,2762776576.00 ,2782175232.00 ,2778480640.00 ,2740166656.00 ,2815553536.00 ,2819039232.00 ,2800701440.00 ,2762997760.00 ,2714005504.00 ,2776915968.00 ,2826375168.00 ,2645577728.00 ,2736386048.00 ,2786213888.00 ,2802462720.00 ,2781257728.00 ,2819072000.00 ,2836152320.00 ,2833547264.00 ,2786488320.00 ,2761871360.00 ,2714554368.00 ,2751590400.00 ,2806300672.00 ,2835972096.00 ,2772353024.00 ,2782806016.00 ,2801790976.00 ,2799230976.00 ,2812301312.00 ,2805518336.00 ,2751086592.00 ,2772680704.00 ,2762485760.00 ,2760663040.00 ,2736144384.00 ,2753236992.00 ,2790277120.00 ,2742509568.00 ,2656002048.00 ,2719555584.00 ,2778963968.00 ,2744999936.00 ,2738397184.00 ,2740334592.00 ,2791231488.00 ,2756669440.00 ,2774917120.00 ,2724917248.00 ,2612408320.00 ,2792816640.00 ,2767609856.00 ,2804498432.00 ,2716266496.00 ,2790531072.00 ,2712547328.00 ,2752024576.00 ,2774630400.00 ,,208144617472.00 
18:32:15,2851569664.00 ,2792185856.00 ,2795032576.00 ,2890493952.00 ,2794360832.00 ,2877841408.00 ,2783453184.00 ,2825764864.00 ,2724335616.00 ,2813054976.00 ,2808688640.00 ,2798387200.00 ,2786635776.00 ,2811375616.00 ,2741805056.00 ,2797076480.00 ,2757001216.00 ,2761818112.00 ,2782072832.00 ,2776645632.00 ,2746523648.00 ,2817028096.00 ,2819600384.00 ,2800259072.00 ,2766430208.00 ,2728951808.00 ,2777538560.00 ,2827468800.00 ,2645835776.00 ,2735136768.00 ,2789007360.00 ,2799841280.00 ,2780499968.00 ,2818453504.00 ,2837487616.00 ,2819465216.00 ,2785579008.00 ,2763366400.00 ,2713706496.00 ,2752196608.00 ,2806812672.00 ,2837983232.00 ,2770624512.00 ,2773786624.00 ,2801709056.00 ,2799054848.00 ,2813644800.00 ,2806550528.00 ,2748805120.00 ,2776109056.00 ,2764218368.00 ,2762539008.00 ,2739097600.00 ,2753224704.00 ,2795184128.00 ,2746458112.00 ,2657931264.00 ,2721300480.00 ,2780450816.00 ,2738794496.00 ,2737758208.00 ,2746486784.00 ,2791436288.00 ,2755260416.00 ,2775310336.00 ,2725396480.00 ,2615042048.00 ,2781392896.00 ,2761740288.00 ,2806415360.00 ,2717261824.00 ,2785652736.00 ,2713317376.00 ,2751102976.00 ,2785681408.00 ,,208137510912.00 
