Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-122/used,emr-worker-123/used,emr-worker-124/used,emr-worker-125/used,emr-worker-126/used,emr-worker-127/used,emr-worker-128/used,emr-worker-129/used,emr-worker-130/used,emr-worker-131/used,emr-worker-132/used,emr-worker-133/used,emr-worker-134/used,emr-worker-135/used,emr-worker-136/used,emr-worker-137/used,emr-worker-138/used,emr-worker-139/used,emr-worker-140/used,emr-worker-141/used,emr-worker-142/used,emr-worker-143/used,emr-worker-144/used,emr-worker-145/used,emr-worker-146/used,emr-worker-147/used,emr-worker-148/used,emr-worker-149/used,emr-worker-150/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
10:30:00,2835308544.00 ,2794541056.00 ,2804965376.00 ,2845372416.00 ,2778640384.00 ,2852462592.00 ,2811703296.00 ,2865303552.00 ,2701987840.00 ,2802343936.00 ,2819338240.00 ,2798080000.00 ,2756706304.00 ,2809819136.00 ,2743459840.00 ,2799206400.00 ,2726379520.00 ,2768404480.00 ,2800754688.00 ,2769387520.00 ,2730979328.00 ,2807033856.00 ,2820046848.00 ,2792783872.00 ,2766786560.00 ,2717409280.00 ,2778058752.00 ,2806411264.00 ,2629312512.00 ,2745311232.00 ,2774581248.00 ,2798411776.00 ,2770034688.00 ,2835644416.00 ,2834505728.00 ,2806226944.00 ,2788728832.00 ,2750676992.00 ,2710589440.00 ,2760953856.00 ,2797535232.00 ,2830045184.00 ,2766503936.00 ,2777083904.00 ,2799357952.00 ,2792919040.00 ,2834653184.00 ,2799489024.00 ,2753949696.00 ,2772566016.00 ,2757001216.00 ,2766172160.00 ,2733772800.00 ,2750197760.00 ,2771083264.00 ,2715316224.00 ,2617176064.00 ,2704695296.00 ,2779406336.00 ,2728206336.00 ,2748293120.00 ,2730590208.00 ,2784120832.00 ,2768363520.00 ,2765254656.00 ,2723700736.00 ,2596339712.00 ,2766704640.00 ,2746683392.00 ,2788995072.00 ,2718756864.00 ,2782502912.00 ,2702401536.00 ,2752143360.00 ,2767917056.00 ,,207698550784.00 
10:30:15,2834202624.00 ,2781290496.00 ,2801213440.00 ,2830917632.00 ,2780344320.00 ,2852462592.00 ,2812342272.00 ,2854264832.00 ,2699681792.00 ,2801086464.00 ,2808082432.00 ,2787348480.00 ,2757980160.00 ,2812706816.00 ,2742296576.00 ,2790469632.00 ,2725031936.00 ,2769170432.00 ,2781757440.00 ,2763681792.00 ,2733461504.00 ,2807193600.00 ,2819346432.00 ,2794119168.00 ,2764685312.00 ,2729037824.00 ,2779049984.00 ,2802372608.00 ,2627780608.00 ,2744041472.00 ,2775355392.00 ,2796789760.00 ,2769465344.00 ,2836541440.00 ,2835296256.00 ,2805456896.00 ,2787901440.00 ,2753236992.00 ,2711101440.00 ,2763550720.00 ,2797121536.00 ,2832539648.00 ,2773983232.00 ,2775379968.00 ,2799575040.00 ,2793418752.00 ,2832392192.00 ,2801340416.00 ,2753949696.00 ,2773860352.00 ,2774319104.00 ,2765676544.00 ,2735931392.00 ,2746568704.00 ,2771202048.00 ,2715942912.00 ,2618179584.00 ,2709008384.00 ,2779688960.00 ,2727817216.00 ,2750283776.00 ,2732621824.00 ,2782900224.00 ,2766991360.00 ,2766721024.00 ,2725994496.00 ,2598301696.00 ,2765750272.00 ,2747793408.00 ,2788409344.00 ,2712178688.00 ,2773086208.00 ,2701549568.00 ,2751950848.00 ,2768834560.00 ,,207633379328.00 
10:30:30,2835136512.00 ,2779000832.00 ,2803224576.00 ,2827239424.00 ,2779848704.00 ,2853482496.00 ,2813169664.00 ,2853228544.00 ,2696916992.00 ,2798411776.00 ,2805092352.00 ,2782904320.00 ,2768543744.00 ,2809208832.00 ,2739687424.00 ,2787373056.00 ,2725031936.00 ,2761736192.00 ,2783166464.00 ,2764083200.00 ,2733625344.00 ,2805358592.00 ,2818183168.00 ,2793709568.00 ,2758221824.00 ,2713673728.00 ,2779025408.00 ,2797690880.00 ,2628710400.00 ,2741465088.00 ,2777985024.00 ,2791686144.00 ,2778353664.00 ,2839355392.00 ,2834784256.00 ,2807738368.00 ,2786902016.00 ,2748420096.00 ,2709172224.00 ,2774675456.00 ,2797776896.00 ,2831101952.00 ,2767532032.00 ,2773311488.00 ,2799620096.00 ,2791542784.00 ,2845487104.00 ,2798075904.00 ,2754203648.00 ,2773303296.00 ,2758889472.00 ,2767511552.00 ,2733514752.00 ,2748710912.00 ,2770042880.00 ,2718765056.00 ,2620514304.00 ,2708058112.00 ,2780770304.00 ,2726035456.00 ,2750124032.00 ,2732072960.00 ,2785677312.00 ,2764910592.00 ,2765787136.00 ,2724409344.00 ,2597502976.00 ,2765713408.00 ,2751574016.00 ,2788929536.00 ,2710323200.00 ,2774335488.00 ,2712064000.00 ,2754162688.00 ,2770268160.00 ,,207597846528.00 
10:30:45,2837213184.00 ,2779000832.00 ,2803548160.00 ,2830311424.00 ,2778251264.00 ,2851282944.00 ,2814017536.00 ,2848681984.00 ,2697605120.00 ,2798309376.00 ,2805985280.00 ,2783969280.00 ,2756878336.00 ,2808311808.00 ,2752102400.00 ,2790612992.00 ,2725548032.00 ,2764689408.00 ,2783395840.00 ,2762838016.00 ,2733674496.00 ,2807947264.00 ,2818670592.00 ,2793930752.00 ,2763816960.00 ,2715602944.00 ,2778238976.00 ,2801631232.00 ,2628796416.00 ,2745245696.00 ,2774081536.00 ,2796191744.00 ,2768723968.00 ,2838953984.00 ,2836570112.00 ,2816315392.00 ,2788581376.00 ,2751750144.00 ,2711404544.00 ,2766688256.00 ,2797584384.00 ,2832068608.00 ,2767314944.00 ,2773311488.00 ,2798702592.00 ,2791882752.00 ,2830942208.00 ,2801471488.00 ,2754273280.00 ,2774540288.00 ,2761388032.00 ,2764906496.00 ,2733187072.00 ,2745413632.00 ,2771472384.00 ,2711240704.00 ,2613321728.00 ,2703654912.00 ,2782023680.00 ,2724630528.00 ,2745208832.00 ,2734411776.00 ,2783698944.00 ,2763059200.00 ,2766532608.00 ,2722693120.00 ,2596200448.00 ,2765942784.00 ,2750033920.00 ,2787692544.00 ,2709671936.00 ,2770755584.00 ,2701996032.00 ,2751885312.00 ,2770010112.00 ,,207562493952.00 
10:31:00,2834743296.00 ,2787106816.00 ,2809823232.00 ,2832138240.00 ,2779373568.00 ,2852757504.00 ,2814464000.00 ,2851561472.00 ,2695950336.00 ,2801192960.00 ,2808070144.00 ,2788147200.00 ,2758029312.00 ,2809442304.00 ,2742497280.00 ,2789863424.00 ,2721320960.00 ,2764689408.00 ,2807668736.00 ,2763272192.00 ,2725101568.00 ,2812395520.00 ,2816782336.00 ,2796310528.00 ,2769797120.00 ,2713673728.00 ,2774233088.00 ,2796621824.00 ,2627411968.00 ,2744414208.00 ,2776961024.00 ,2798309376.00 ,2771013632.00 ,2839531520.00 ,2835611648.00 ,2808848384.00 ,2790891520.00 ,2751815680.00 ,2711404544.00 ,2765127680.00 ,2799800320.00 ,2831593472.00 ,2767441920.00 ,2774212608.00 ,2800574464.00 ,2800594944.00 ,2830946304.00 ,2802585600.00 ,2765905920.00 ,2784788480.00 ,2757648384.00 ,2768379904.00 ,2735525888.00 ,2744614912.00 ,2773032960.00 ,2711506944.00 ,2614841344.00 ,2701479936.00 ,2783543296.00 ,2726871040.00 ,2746896384.00 ,2726060032.00 ,2782359552.00 ,2764058624.00 ,2764423168.00 ,2719735808.00 ,2593009664.00 ,2769219584.00 ,2750324736.00 ,2788880384.00 ,2712313856.00 ,2767806464.00 ,2701000704.00 ,2752995328.00 ,2768044032.00 ,,207621386240.00 
10:31:15,2833428480.00 ,2786635776.00 ,2802642944.00 ,2832592896.00 ,2778546176.00 ,2857017344.00 ,2816212992.00 ,2848882688.00 ,2698092544.00 ,2800119808.00 ,2808913920.00 ,2788155392.00 ,2758631424.00 ,2810265600.00 ,2745012224.00 ,2788913152.00 ,2724814848.00 ,2762268672.00 ,2777972736.00 ,2758385664.00 ,2730098688.00 ,2806657024.00 ,2815340544.00 ,2794405888.00 ,2767912960.00 ,2716717056.00 ,2774298624.00 ,2803355648.00 ,2628976640.00 ,2737668096.00 ,2772594688.00 ,2801483776.00 ,2767077376.00 ,2831368192.00 ,2840285184.00 ,2805575680.00 ,2787803136.00 ,2748833792.00 ,2710200320.00 ,2761748480.00 ,2801401856.00 ,2832482304.00 ,2762915840.00 ,2783281152.00 ,2798899200.00 ,2796675072.00 ,2830856192.00 ,2799104000.00 ,2753331200.00 ,2777059328.00 ,2755125248.00 ,2766745600.00 ,2736189440.00 ,2746449920.00 ,2784305152.00 ,2713546752.00 ,2616320000.00 ,2703470592.00 ,2785796096.00 ,2723745792.00 ,2743435264.00 ,2727608320.00 ,2784227328.00 ,2764038144.00 ,2767196160.00 ,2720915456.00 ,2595569664.00 ,2767884288.00 ,2750291968.00 ,2789335040.00 ,2712244224.00 ,2770104320.00 ,2703720448.00 ,2762395648.00 ,2767884288.00 ,,207574458368.00 
10:31:30,2831515648.00 ,2785796096.00 ,2807189504.00 ,2829176832.00 ,2780479488.00 ,2861379584.00 ,2816249856.00 ,2847555584.00 ,2694856704.00 ,2795900928.00 ,2807189504.00 ,2785316864.00 ,2754748416.00 ,2806960128.00 ,2738098176.00 ,2786078720.00 ,2725302272.00 ,2758189056.00 ,2779144192.00 ,2759663616.00 ,2728054784.00 ,2803146752.00 ,2829754368.00 ,2793914368.00 ,2765139968.00 ,2716717056.00 ,2776731648.00 ,2802237440.00 ,2628046848.00 ,2736021504.00 ,2773774336.00 ,2796478464.00 ,2767351808.00 ,2840293376.00 ,2838441984.00 ,2806980608.00 ,2784628736.00 ,2743959552.00 ,2710077440.00 ,2760503296.00 ,2798673920.00 ,2827218944.00 ,2771103744.00 ,2770882560.00 ,2800726016.00 ,2793721856.00 ,2827526144.00 ,2800300032.00 ,2753433600.00 ,2776363008.00 ,2756554752.00 ,2768257024.00 ,2735890432.00 ,2744590336.00 ,2773118976.00 ,2711605248.00 ,2627854336.00 ,2710708224.00 ,2784157696.00 ,2722611200.00 ,2743975936.00 ,2726289408.00 ,2783080448.00 ,2763894784.00 ,2764914688.00 ,2722844672.00 ,2593222656.00 ,2771189760.00 ,2751037440.00 ,2789998592.00 ,2712608768.00 ,2769276928.00 ,2704125952.00 ,2753363968.00 ,2768228352.00 ,,207526395904.00 
10:31:45,2831769600.00 ,2785394688.00 ,2804436992.00 ,2829307904.00 ,2782412800.00 ,2855796736.00 ,2815631360.00 ,2844962816.00 ,2696249344.00 ,2797531136.00 ,2808016896.00 ,2787241984.00 ,2757148672.00 ,2807853056.00 ,2743820288.00 ,2787237888.00 ,2725429248.00 ,2758889472.00 ,2779504640.00 ,2760536064.00 ,2729390080.00 ,2805682176.00 ,2816544768.00 ,2795085824.00 ,2767458304.00 ,2709413888.00 ,2774589440.00 ,2804633600.00 ,2627186688.00 ,2738614272.00 ,2770186240.00 ,2798592000.00 ,2765905920.00 ,2840039424.00 ,2838085632.00 ,2808717312.00 ,2787926016.00 ,2746007552.00 ,2708578304.00 ,2759770112.00 ,2797432832.00 ,2829455360.00 ,2771116032.00 ,2772099072.00 ,2800656384.00 ,2791514112.00 ,2827223040.00 ,2798624768.00 ,2753433600.00 ,2776788992.00 ,2756448256.00 ,2768150528.00 ,2731814912.00 ,2746966016.00 ,2771800064.00 ,2713534464.00 ,2613743616.00 ,2710532096.00 ,2782101504.00 ,2722840576.00 ,2744872960.00 ,2726690816.00 ,2780319744.00 ,2765545472.00 ,2768191488.00 ,2721505280.00 ,2592972800.00 ,2768027648.00 ,2749210624.00 ,2790584320.00 ,2712662016.00 ,2770350080.00 ,2705195008.00 ,2753052672.00 ,2780033024.00 ,,207517069312.00 
10:32:00,2835349504.00 ,2786447360.00 ,2805485568.00 ,2831441920.00 ,2781810688.00 ,2855796736.00 ,2812813312.00 ,2850496512.00 ,2699513856.00 ,2799525888.00 ,2808197120.00 ,2787409920.00 ,2760404992.00 ,2824839168.00 ,2741956608.00 ,2790223872.00 ,2725429248.00 ,2766696448.00 ,2801516544.00 ,2764468224.00 ,2729308160.00 ,2804588544.00 ,2816892928.00 ,2795966464.00 ,2769289216.00 ,2713214976.00 ,2777337856.00 ,2805215232.00 ,2630311936.00 ,2740092928.00 ,2772508672.00 ,2798632960.00 ,2766532608.00 ,2840371200.00 ,2838765568.00 ,2807296000.00 ,2790068224.00 ,2748166144.00 ,2711412736.00 ,2759532544.00 ,2799767552.00 ,2831679488.00 ,2772578304.00 ,2774716416.00 ,2800209920.00 ,2793947136.00 ,2829824000.00 ,2803015680.00 ,2757099520.00 ,2778271744.00 ,2755137536.00 ,2769174528.00 ,2734157824.00 ,2743599104.00 ,2773528576.00 ,2712498176.00 ,2615906304.00 ,2710196224.00 ,2782183424.00 ,2724413440.00 ,2743418880.00 ,2726219776.00 ,2780880896.00 ,2763542528.00 ,2767409152.00 ,2731356160.00 ,2595610624.00 ,2779713536.00 ,2750255104.00 ,2789863424.00 ,2712952832.00 ,2770108416.00 ,2704068608.00 ,2752856064.00 ,2767736832.00 ,,207643226112.00 
10:32:15,2832670720.00 ,2788233216.00 ,2804776960.00 ,2831192064.00 ,2783256576.00 ,2856931328.00 ,2814451712.00 ,2853478400.00 ,2699620352.00 ,2799091712.00 ,2809516032.00 ,2788917248.00 ,2763034624.00 ,2810073088.00 ,2743320576.00 ,2790133760.00 ,2726916096.00 ,2767564800.00 ,2788966400.00 ,2769645568.00 ,2733858816.00 ,2806349824.00 ,2821230592.00 ,2794795008.00 ,2772799488.00 ,2716504064.00 ,2776358912.00 ,2807418880.00 ,2630406144.00 ,2749374464.00 ,2775392256.00 ,2801451008.00 ,2767642624.00 ,2840412160.00 ,2841059328.00 ,2807836672.00 ,2789965824.00 ,2748416000.00 ,2711740416.00 ,2761846784.00 ,2809049088.00 ,2831159296.00 ,2774380544.00 ,2774716416.00 ,2801307648.00 ,2795134976.00 ,2830127104.00 ,2802114560.00 ,2760830976.00 ,2780295168.00 ,2762698752.00 ,2771017728.00 ,2750644224.00 ,2745102336.00 ,2772037632.00 ,2715213824.00 ,2616860672.00 ,2713595904.00 ,2785783808.00 ,2731819008.00 ,2745249792.00 ,2726707200.00 ,2783170560.00 ,2767269888.00 ,2768355328.00 ,2722287616.00 ,2595532800.00 ,2770018304.00 ,2751561728.00 ,2791006208.00 ,2716471296.00 ,2771054592.00 ,2704056320.00 ,2753990656.00 ,2769358848.00 ,,207736631296.00 
