Time,emr-worker-100/used,emr-worker-101/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-60/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
9:00:00,2789171200.00 ,2713948160.00 ,2776809472.00 ,2726232064.00 ,2714570752.00 ,2751754240.00 ,2769956864.00 ,2826199040.00 ,2777575424.00 ,2691063808.00 ,2706948096.00 ,2721341440.00 ,2732429312.00 ,2705788928.00 ,2703138816.00 ,2753576960.00 ,2755710976.00 ,2753437696.00 ,2666520576.00 ,2731024384.00 ,2734534656.00 ,2699956224.00 ,2736721920.00 ,2700279808.00 ,2663759872.00 ,2717982720.00 ,2713378816.00 ,2722562048.00 ,2698514432.00 ,2707365888.00 ,2776903680.00 ,2713026560.00 ,2701455360.00 ,2677538816.00 ,2713886720.00 ,2734563328.00 ,2713939968.00 ,2698452992.00 ,2760458240.00 ,2737717248.00 ,2722840576.00 ,2726879232.00 ,2703597568.00 ,2725470208.00 ,2731012096.00 ,2755121152.00 ,2699124736.00 ,2708897792.00 ,2711822336.00 ,2694012928.00 ,2709536768.00 ,,138978512896.00 
9:00:15,2792235008.00 ,2713059328.00 ,2776465408.00 ,2727436288.00 ,2704596992.00 ,2754048000.00 ,2769776640.00 ,2830245888.00 ,2780295168.00 ,2690555904.00 ,2707730432.00 ,2725662720.00 ,2733948928.00 ,2705092608.00 ,2707542016.00 ,2752409600.00 ,2761584640.00 ,2753921024.00 ,2668519424.00 ,2730885120.00 ,2735681536.00 ,2695954432.00 ,2737868800.00 ,2705747968.00 ,2662334464.00 ,2723459072.00 ,2713722880.00 ,2722811904.00 ,2698379264.00 ,2707636224.00 ,2775584768.00 ,2712780800.00 ,2714877952.00 ,2678038528.00 ,2717085696.00 ,2733764608.00 ,2704117760.00 ,2700255232.00 ,2761850880.00 ,2747674624.00 ,2724667392.00 ,2726027264.00 ,2704764928.00 ,2722791424.00 ,2732445696.00 ,2755620864.00 ,2701148160.00 ,2710376448.00 ,2714972160.00 ,2695331840.00 ,2712117248.00 ,,139035901952.00 
9:00:30,2788380672.00 ,2713153536.00 ,2776391680.00 ,2725769216.00 ,2706329600.00 ,2750894080.00 ,2771058688.00 ,2831196160.00 ,2781728768.00 ,2690465792.00 ,2709065728.00 ,2721366016.00 ,2729345024.00 ,2716073984.00 ,2699395072.00 ,2750242816.00 ,2764378112.00 ,2749427712.00 ,2665250816.00 ,2734698496.00 ,2732527616.00 ,2713264128.00 ,2736041984.00 ,2701078528.00 ,2661244928.00 ,2721955840.00 ,2711785472.00 ,2734469120.00 ,2696908800.00 ,2705457152.00 ,2768433152.00 ,2718511104.00 ,2698412032.00 ,2678857728.00 ,2711805952.00 ,2741768192.00 ,2706477056.00 ,2698711040.00 ,2757394432.00 ,2740039680.00 ,2736529408.00 ,2731118592.00 ,2705293312.00 ,2734075904.00 ,2730205184.00 ,2767687680.00 ,2698977280.00 ,2705346560.00 ,2711912448.00 ,2699513856.00 ,2707480576.00 ,,139037896704.00 
9:00:45,2790563840.00 ,2712973312.00 ,2779590656.00 ,2727014400.00 ,2703679488.00 ,2751631360.00 ,2771742720.00 ,2830569472.00 ,2781691904.00 ,2690326528.00 ,2705965056.00 ,2726068224.00 ,2731065344.00 ,2705178624.00 ,2702053376.00 ,2752114688.00 ,2763587584.00 ,2752876544.00 ,2668601344.00 ,2734051328.00 ,2745946112.00 ,2699595776.00 ,2739003392.00 ,2702925824.00 ,2663288832.00 ,2720210944.00 ,2715070464.00 ,2725072896.00 ,2699812864.00 ,2706345984.00 ,2773192704.00 ,2712186880.00 ,2700693504.00 ,2680639488.00 ,2718044160.00 ,2732036096.00 ,2704961536.00 ,2698477568.00 ,2761433088.00 ,2740850688.00 ,2724581376.00 ,2733158400.00 ,2703253504.00 ,2723663872.00 ,2746232832.00 ,2758270976.00 ,2705100800.00 ,2710364160.00 ,2712158208.00 ,2694643712.00 ,2710155264.00 ,,139042717696.00 
9:01:00,2790989824.00 ,2714423296.00 ,2780688384.00 ,2727501824.00 ,2703962112.00 ,2754539520.00 ,2784096256.00 ,2830573568.00 ,2775347200.00 ,2690494464.00 ,2706042880.00 ,2725330944.00 ,2732343296.00 ,2708832256.00 ,2703278080.00 ,2754224128.00 ,2763063296.00 ,2752983040.00 ,2668908544.00 ,2735669248.00 ,2737029120.00 ,2698293248.00 ,2739666944.00 ,2706620416.00 ,2663653376.00 ,2717450240.00 ,2713133056.00 ,2723921920.00 ,2701803520.00 ,2707750912.00 ,2772922368.00 ,2711678976.00 ,2706264064.00 ,2680053760.00 ,2722582528.00 ,2732523520.00 ,2703380480.00 ,2699018240.00 ,2763120640.00 ,2737840128.00 ,2723004416.00 ,2733772800.00 ,2705158144.00 ,2723991552.00 ,2734391296.00 ,2758049792.00 ,2697904128.00 ,2714423296.00 ,2714914816.00 ,2694782976.00 ,2721964032.00 ,,139064356864.00 
9:01:15,2792583168.00 ,2717159424.00 ,2780430336.00 ,2727264256.00 ,2707849216.00 ,2753859584.00 ,2773053440.00 ,2829004800.00 ,2779082752.00 ,2690637824.00 ,2709585920.00 ,2727936000.00 ,2732048384.00 ,2706911232.00 ,2705272832.00 ,2751934464.00 ,2776256512.00 ,2752438272.00 ,2670219264.00 ,2734362624.00 ,2739630080.00 ,2700218368.00 ,2738872320.00 ,2704707584.00 ,2662920192.00 ,2724364288.00 ,2716434432.00 ,2722639872.00 ,2703110144.00 ,2709233664.00 ,2774224896.00 ,2711539712.00 ,2707869696.00 ,2688135168.00 ,2716381184.00 ,2747985920.00 ,2704744448.00 ,2701586432.00 ,2758615040.00 ,2738188288.00 ,2722639872.00 ,2731970560.00 ,2703048704.00 ,2726207488.00 ,2735828992.00 ,2758991872.00 ,2699456512.00 ,2719911936.00 ,2711621632.00 ,2696593408.00 ,2712150016.00 ,,139107713024.00 
9:01:30,2789691392.00 ,2716741632.00 ,2779742208.00 ,2725781504.00 ,2706345984.00 ,2751844352.00 ,2772135936.00 ,2831048704.00 ,2781200384.00 ,2689073152.00 ,2708672512.00 ,2723815424.00 ,2731401216.00 ,2707210240.00 ,2701742080.00 ,2753552384.00 ,2766082048.00 ,2755506176.00 ,2666516480.00 ,2736115712.00 ,2736513024.00 ,2716987392.00 ,2751692800.00 ,2704752640.00 ,2665209856.00 ,2724478976.00 ,2710376448.00 ,2722148352.00 ,2701209600.00 ,2706866176.00 ,2768879616.00 ,2713206784.00 ,2705072128.00 ,2683400192.00 ,2712354816.00 ,2745290752.00 ,2703147008.00 ,2706145280.00 ,2770776064.00 ,2738405376.00 ,2738081792.00 ,2730700800.00 ,2705481728.00 ,2723827712.00 ,2734108672.00 ,2757009408.00 ,2698829824.00 ,2711064576.00 ,2710736896.00 ,2694721536.00 ,2708377600.00 ,,139094073344.00 
9:01:45,2807291904.00 ,2716708864.00 ,2779615232.00 ,2730717184.00 ,2708627456.00 ,2756169728.00 ,2772828160.00 ,2834640896.00 ,2780614656.00 ,2692186112.00 ,2709192704.00 ,2726920192.00 ,2734964736.00 ,2707845120.00 ,2702786560.00 ,2753335296.00 ,2765991936.00 ,2759794688.00 ,2670329856.00 ,2734338048.00 ,2738794496.00 ,2699534336.00 ,2738753536.00 ,2707722240.00 ,2669027328.00 ,2723233792.00 ,2715795456.00 ,2728370176.00 ,2702757888.00 ,2707509248.00 ,2776555520.00 ,2711810048.00 ,2706239488.00 ,2683973632.00 ,2716499968.00 ,2735955968.00 ,2701070336.00 ,2699812864.00 ,2764234752.00 ,2738208768.00 ,2725462016.00 ,2735198208.00 ,2707357696.00 ,2727215104.00 ,2735869952.00 ,2758881280.00 ,2706468864.00 ,2714705920.00 ,2715639808.00 ,2695536640.00 ,2713710592.00 ,,139146805248.00 
9:02:00,2796736512.00 ,2718953472.00 ,2781769728.00 ,2727473152.00 ,2703556608.00 ,2755362816.00 ,2770612224.00 ,2833821696.00 ,2792742912.00 ,2689720320.00 ,2710450176.00 ,2726141952.00 ,2733195264.00 ,2708643840.00 ,2706194432.00 ,2754928640.00 ,2762498048.00 ,2760896512.00 ,2672381952.00 ,2736095232.00 ,2740944896.00 ,2702573568.00 ,2740477952.00 ,2709426176.00 ,2664042496.00 ,2720989184.00 ,2713194496.00 ,2726567936.00 ,2704973824.00 ,2713219072.00 ,2787123200.00 ,2712178688.00 ,2707542016.00 ,2682183680.00 ,2718928896.00 ,2736156672.00 ,2701971456.00 ,2702278656.00 ,2763583488.00 ,2740977664.00 ,2724188160.00 ,2735042560.00 ,2707079168.00 ,2725490688.00 ,2738675712.00 ,2761170944.00 ,2701291520.00 ,2715131904.00 ,2712924160.00 ,2697932800.00 ,2712215552.00 ,,139162652672.00 
9:02:15,2795143168.00 ,2718900224.00 ,2782793728.00 ,2729254912.00 ,2707566592.00 ,2753785856.00 ,2773536768.00 ,2835005440.00 ,2783690752.00 ,2693017600.00 ,2714001408.00 ,2727624704.00 ,2735263744.00 ,2707890176.00 ,2706554880.00 ,2754174976.00 ,2765033472.00 ,2761097216.00 ,2672812032.00 ,2746757120.00 ,2739773440.00 ,2705518592.00 ,2738421760.00 ,2709958656.00 ,2667147264.00 ,2735542272.00 ,2716557312.00 ,2729263104.00 ,2702417920.00 ,2715500544.00 ,2779504640.00 ,2714443776.00 ,2710482944.00 ,2685181952.00 ,2716909568.00 ,2737692672.00 ,2703187968.00 ,2703273984.00 ,2762031104.00 ,2741846016.00 ,2726150144.00 ,2736848896.00 ,2706190336.00 ,2727256064.00 ,2736472064.00 ,2762231808.00 ,2703245312.00 ,2716188672.00 ,2712211456.00 ,2697641984.00 ,2714742784.00 ,,139217739776.00 
