Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-122/used,emr-worker-123/used,emr-worker-124/used,emr-worker-125/used,emr-worker-126/used,emr-worker-127/used,emr-worker-128/used,emr-worker-129/used,emr-worker-130/used,emr-worker-131/used,emr-worker-132/used,emr-worker-133/used,emr-worker-134/used,emr-worker-135/used,emr-worker-136/used,emr-worker-137/used,emr-worker-138/used,emr-worker-139/used,emr-worker-140/used,emr-worker-141/used,emr-worker-142/used,emr-worker-143/used,emr-worker-144/used,emr-worker-145/used,emr-worker-146/used,emr-worker-147/used,emr-worker-148/used,emr-worker-149/used,emr-worker-150/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,,,,,
14:30:00,2772889600.00 ,2780258304.00 ,2812661760.00 ,2847023104.00 ,2768969728.00 ,2807435264.00 ,2787065856.00 ,2827894784.00 ,2661253120.00 ,2828222464.00 ,2810834944.00 ,2796335104.00 ,2760646656.00 ,2800525312.00 ,2744295424.00 ,2793234432.00 ,2744238080.00 ,2783301632.00 ,2770878464.00 ,2775220224.00 ,2746814464.00 ,2819297280.00 ,2831630336.00 ,2815115264.00 ,2773770240.00 ,2733432832.00 ,2774016000.00 ,2813468672.00 ,2634977280.00 ,2760663040.00 ,2798915584.00 ,2804723712.00 ,2782412800.00 ,2816999424.00 ,2807656448.00 ,2836336640.00 ,2789781504.00 ,2767351808.00 ,2731204608.00 ,2780794880.00 ,2804158464.00 ,2814808064.00 ,2757636096.00 ,2797076480.00 ,2807427072.00 ,2813313024.00 ,2822574080.00 ,2835083264.00 ,2762956800.00 ,2784337920.00 ,2760548352.00 ,2736979968.00 ,2738782208.00 ,2769358848.00 ,2758672384.00 ,2736701440.00 ,2616483840.00 ,2747359232.00 ,2772643840.00 ,2738728960.00 ,2759217152.00 ,2745462784.00 ,2761543680.00 ,2756730880.00 ,2768232448.00 ,2737623040.00 ,2597851136.00 ,2762752000.00 ,2754965504.00 ,2778603520.00 ,2716422144.00 ,2776440832.00 ,2711691264.00 ,2748903424.00 ,2759426048.00 ,,207804043264.00 ,,,,
14:30:15,2772074496.00 ,2782064640.00 ,2812661760.00 ,2849968128.00 ,2768297984.00 ,2808250368.00 ,2789785600.00 ,2830327808.00 ,2661330944.00 ,2826067968.00 ,2813698048.00 ,2799337472.00 ,2759979008.00 ,2800795648.00 ,2744016896.00 ,2795085824.00 ,2743336960.00 ,2784452608.00 ,2777284608.00 ,2777251840.00 ,2746986496.00 ,2816692224.00 ,2832531456.00 ,2798534656.00 ,2771550208.00 ,2733658112.00 ,2775941120.00 ,2825711616.00 ,2635341824.00 ,2761375744.00 ,2790178816.00 ,2807517184.00 ,2781904896.00 ,2811502592.00 ,2811027456.00 ,2836701184.00 ,2792869888.00 ,2768850944.00 ,2733694976.00 ,2780782592.00 ,2805035008.00 ,2820468736.00 ,2758520832.00 ,2797445120.00 ,2809171968.00 ,2815090688.00 ,2822520832.00 ,2819899392.00 ,2765492224.00 ,2786791424.00 ,2760978432.00 ,2738434048.00 ,2740166656.00 ,2770509824.00 ,2759237632.00 ,2737700864.00 ,2616999936.00 ,2744709120.00 ,2771943424.00 ,2732388352.00 ,2767282176.00 ,2735472640.00 ,2764308480.00 ,2758504448.00 ,2782973952.00 ,2737836032.00 ,2589880320.00 ,2767503360.00 ,2755350528.00 ,2788245504.00 ,2714636288.00 ,2776018944.00 ,2713829376.00 ,2748628992.00 ,2760130560.00 ,,207843528704.00 ,,,,
14:30:30,2769506304.00 ,2778320896.00 ,2818519040.00 ,2846343168.00 ,2770305024.00 ,2808250368.00 ,2788102144.00 ,2831216640.00 ,2660294656.00 ,2826911744.00 ,2809995264.00 ,2795859968.00 ,2757873664.00 ,2801889280.00 ,2743750656.00 ,2790662144.00 ,2752671744.00 ,2781581312.00 ,2778730496.00 ,2780315648.00 ,2750140416.00 ,2814078976.00 ,2829221888.00 ,2798997504.00 ,2772004864.00 ,2731757568.00 ,2778042368.00 ,2814517248.00 ,2634428416.00 ,2761170944.00 ,2789367808.00 ,2803068928.00 ,2782031872.00 ,2821586944.00 ,2811305984.00 ,2835132416.00 ,2788298752.00 ,2768289792.00 ,2730561536.00 ,2791325696.00 ,2804932608.00 ,2832297984.00 ,2760241152.00 ,2795835392.00 ,2808639488.00 ,2812813312.00 ,2821234688.00 ,2818150400.00 ,2763988992.00 ,2786975744.00 ,2763001856.00 ,2739511296.00 ,2739011584.00 ,2770026496.00 ,2758029312.00 ,2748690432.00 ,2617135104.00 ,2744717312.00 ,2771881984.00 ,2735517696.00 ,2760880128.00 ,2735996928.00 ,2762121216.00 ,2766565376.00 ,2768617472.00 ,2738659328.00 ,2590752768.00 ,2768465920.00 ,2754179072.00 ,2781368320.00 ,2716798976.00 ,2773807104.00 ,2713047040.00 ,2750291968.00 ,2760024064.00 ,,207830638592.00 ,,,,
14:30:45,2775273472.00 ,2781167616.00 ,2820083712.00 ,2850803712.00 ,2769641472.00 ,2807345152.00 ,2790359040.00 ,2828070912.00 ,2674393088.00 ,2825809920.00 ,2811301888.00 ,2795253760.00 ,2760413184.00 ,2801737728.00 ,2745065472.00 ,2791608320.00 ,2745384960.00 ,2785587200.00 ,2777333760.00 ,2781564928.00 ,2747379712.00 ,2816761856.00 ,2831192064.00 ,2799423488.00 ,2774233088.00 ,2731585536.00 ,2775293952.00 ,2816323584.00 ,2637398016.00 ,2774360064.00 ,2787180544.00 ,2804084736.00 ,2779025408.00 ,2816393216.00 ,2812416000.00 ,2839535616.00 ,2790703104.00 ,2767470592.00 ,2730774528.00 ,2780360704.00 ,2804477952.00 ,2819723264.00 ,2762924032.00 ,2797760512.00 ,2811105280.00 ,2813116416.00 ,2823262208.00 ,2817773568.00 ,2764693504.00 ,2788929536.00 ,2762784768.00 ,2737070080.00 ,2741952512.00 ,2772086784.00 ,2761080832.00 ,2738003968.00 ,2615828480.00 ,2743361536.00 ,2775035904.00 ,2732302336.00 ,2763132928.00 ,2737180672.00 ,2762350592.00 ,2756358144.00 ,2766680064.00 ,2736603136.00 ,2589712384.00 ,2766147584.00 ,2756050944.00 ,2779664384.00 ,2727428096.00 ,2776100864.00 ,2712109056.00 ,2750967808.00 ,2761691136.00 ,,207855546368.00 ,,,,
14:31:00,2774831104.00 ,2781298688.00 ,2820116480.00 ,2851602432.00 ,2769289216.00 ,2811056128.00 ,2788491264.00 ,2829361152.00 ,2663886848.00 ,2827583488.00 ,2809573376.00 ,2796740608.00 ,2761138176.00 ,2798379008.00 ,2745290752.00 ,2794799104.00 ,2744197120.00 ,2784448512.00 ,2776567808.00 ,2777370624.00 ,2743787520.00 ,2817413120.00 ,2831675392.00 ,2815614976.00 ,2774990848.00 ,2733715456.00 ,2775068672.00 ,2815954944.00 ,2637545472.00 ,2762723328.00 ,2788663296.00 ,2806542336.00 ,2781593600.00 ,2819821568.00 ,2808451072.00 ,2834493440.00 ,2789842944.00 ,2768797696.00 ,2732675072.00 ,2777882624.00 ,2804256768.00 ,2817593344.00 ,2759274496.00 ,2796933120.00 ,2808426496.00 ,2815741952.00 ,2823852032.00 ,2818039808.00 ,2766319616.00 ,2787393536.00 ,2763538432.00 ,2737946624.00 ,2739671040.00 ,2768367616.00 ,2769793024.00 ,2736508928.00 ,2631950336.00 ,2757885952.00 ,2772193280.00 ,2735366144.00 ,2764279808.00 ,2736644096.00 ,2762989568.00 ,2756415488.00 ,2769543168.00 ,2752966656.00 ,2586914816.00 ,2764435456.00 ,2756726784.00 ,2779176960.00 ,2716930048.00 ,2777567232.00 ,2711629824.00 ,2751975424.00 ,2761990144.00 ,,207884513280.00 ,,,,
14:31:15,2776776704.00 ,2796896256.00 ,2817499136.00 ,2850013184.00 ,2766999552.00 ,2810572800.00 ,2791227392.00 ,2832338944.00 ,2666180608.00 ,2828390400.00 ,2813202432.00 ,2798759936.00 ,2766290944.00 ,2802847744.00 ,2748203008.00 ,2799755264.00 ,2750763008.00 ,2785148928.00 ,2782724096.00 ,2782617600.00 ,2747428864.00 ,2821042176.00 ,2833711104.00 ,2796904448.00 ,2779000832.00 ,2734694400.00 ,2777976832.00 ,2818658304.00 ,2647011328.00 ,2764300288.00 ,2787790848.00 ,2806599680.00 ,2783612928.00 ,2814513152.00 ,2815942656.00 ,2834493440.00 ,2792861696.00 ,2771570688.00 ,2743869440.00 ,2779357184.00 ,2805936128.00 ,2821734400.00 ,2764996608.00 ,2813374464.00 ,2809819136.00 ,2820169728.00 ,2823241728.00 ,2821308416.00 ,2767454208.00 ,2786385920.00 ,2764066816.00 ,2739228672.00 ,2743767040.00 ,2770907136.00 ,2763091968.00 ,2739929088.00 ,2619719680.00 ,2746376192.00 ,2774183936.00 ,2733662208.00 ,2763427840.00 ,2737876992.00 ,2763501568.00 ,2756534272.00 ,2769993728.00 ,2742341632.00 ,2590224384.00 ,2766721024.00 ,2758238208.00 ,2781589504.00 ,2719899648.00 ,2780626944.00 ,2713350144.00 ,2750570496.00 ,2773372928.00 ,,208016171008.00 ,,,,
14:31:30,2775166976.00 ,2781130752.00 ,2822623232.00 ,2849009664.00 ,2769866752.00 ,2808500224.00 ,2796396544.00 ,2834391040.00 ,2664517632.00 ,2828029952.00 ,2809827328.00 ,2802536448.00 ,2759483392.00 ,2799263744.00 ,2746380288.00 ,2795642880.00 ,2745864192.00 ,2782322688.00 ,2795716608.00 ,2782531584.00 ,2746175488.00 ,2822631424.00 ,2831163392.00 ,2796556288.00 ,2772267008.00 ,2730823680.00 ,2776432640.00 ,2817622016.00 ,2641997824.00 ,2761388032.00 ,2787790848.00 ,2803826688.00 ,2781548544.00 ,2823483392.00 ,2816000000.00 ,2836586496.00 ,2788569088.00 ,2767790080.00 ,2731401216.00 ,2781655040.00 ,2805825536.00 ,2817318912.00 ,2763505664.00 ,2796109824.00 ,2809913344.00 ,2816999424.00 ,2821263360.00 ,2818584576.00 ,2765905920.00 ,2788438016.00 ,2764214272.00 ,2760171520.00 ,2742845440.00 ,2770530304.00 ,2762944512.00 ,2739806208.00 ,2619101184.00 ,2746273792.00 ,2773749760.00 ,2733846528.00 ,2763689984.00 ,2735550464.00 ,2764111872.00 ,2757562368.00 ,2768113664.00 ,2742702080.00 ,2590720000.00 ,2767761408.00 ,2756075520.00 ,2778054656.00 ,2718109696.00 ,2778091520.00 ,2713182208.00 ,2753019904.00 ,2762330112.00 ,,207931334656.00 ,,,,
14:31:45,2776215552.00 ,2781245440.00 ,2822623232.00 ,2850168832.00 ,2770264064.00 ,2809556992.00 ,2794717184.00 ,2831261696.00 ,2664583168.00 ,2829537280.00 ,2812297216.00 ,2802831360.00 ,2761277440.00 ,2802036736.00 ,2748817408.00 ,2798276608.00 ,2747379712.00 ,2786242560.00 ,2781757440.00 ,2782547968.00 ,2747514880.00 ,2822279168.00 ,2831376384.00 ,2797420544.00 ,2776129536.00 ,2731638784.00 ,2777464832.00 ,2820558848.00 ,2639691776.00 ,2762825728.00 ,2784043008.00 ,2811707392.00 ,2781655040.00 ,2813775872.00 ,2827325440.00 ,2850996224.00 ,2792894464.00 ,2768420864.00 ,2736259072.00 ,2784698368.00 ,2804600832.00 ,2820132864.00 ,2763866112.00 ,2798243840.00 ,2810126336.00 ,2818953216.00 ,2825056256.00 ,2820902912.00 ,2766368768.00 ,2787590144.00 ,2775240704.00 ,2740690944.00 ,2743316480.00 ,2772393984.00 ,2763751424.00 ,2736779264.00 ,2620694528.00 ,2746245120.00 ,2787831808.00 ,2732310528.00 ,2763378688.00 ,2737459200.00 ,2766983168.00 ,2756521984.00 ,2769354752.00 ,2744442880.00 ,2589204480.00 ,2768080896.00 ,2756616192.00 ,2779475968.00 ,2718429184.00 ,2780635136.00 ,2712825856.00 ,2753482752.00 ,2763091968.00 ,,208007393280.00 ,,,,
14:32:00,2777038848.00 ,2783043584.00 ,2820476928.00 ,2850951168.00 ,2771103744.00 ,2809556992.00 ,2794778624.00 ,2832441344.00 ,2663673856.00 ,2827919360.00 ,2812174336.00 ,2803499008.00 ,2758533120.00 ,2802118656.00 ,2747129856.00 ,2800406528.00 ,2745241600.00 ,2787713024.00 ,2778578944.00 ,2780807168.00 ,2745204736.00 ,2821660672.00 ,2833076224.00 ,2812936192.00 ,2776576000.00 ,2735673344.00 ,2774855680.00 ,2820653056.00 ,2639273984.00 ,2762252288.00 ,2786340864.00 ,2807443456.00 ,2782855168.00 ,2822230016.00 ,2812936192.00 ,2838716416.00 ,2793332736.00 ,2767224832.00 ,2735124480.00 ,2781528064.00 ,2813186048.00 ,2820751360.00 ,2758692864.00 ,2797031424.00 ,2809978880.00 ,2818322432.00 ,2825011200.00 ,2820755456.00 ,2764922880.00 ,2787385344.00 ,2764075008.00 ,2739920896.00 ,2744840192.00 ,2772291584.00 ,2763583488.00 ,2738540544.00 ,2622427136.00 ,2745004032.00 ,2775310336.00 ,2735157248.00 ,2762903552.00 ,2736984064.00 ,2765172736.00 ,2759335936.00 ,2770497536.00 ,2744586240.00 ,2589614080.00 ,2767663104.00 ,2755899392.00 ,2781024256.00 ,2718756864.00 ,2781024256.00 ,2716053504.00 ,2755252224.00 ,2764759040.00 ,,207983796224.00 ,,,,
14:32:15,2778267648.00 ,2783764480.00 ,2816622592.00 ,2851794944.00 ,2771300352.00 ,2812268544.00 ,2795786240.00 ,2831953920.00 ,2665979904.00 ,2829672448.00 ,2814156800.00 ,2802458624.00 ,2763821056.00 ,2804346880.00 ,2748162048.00 ,2801184768.00 ,2747969536.00 ,2786095104.00 ,2782502912.00 ,2783309824.00 ,2746793984.00 ,2823512064.00 ,2834096128.00 ,2796638208.00 ,2786803712.00 ,2735345664.00 ,2777665536.00 ,2819227648.00 ,2639609856.00 ,2763853824.00 ,2787426304.00 ,2807599104.00 ,2783256576.00 ,2824814592.00 ,2816851968.00 ,2838319104.00 ,2799497216.00 ,2768834560.00 ,2736336896.00 ,2784165888.00 ,2811064320.00 ,2820169728.00 ,2763374592.00 ,2799894528.00 ,2812198912.00 ,2820968448.00 ,2837266432.00 ,2822086656.00 ,2779959296.00 ,2800812032.00 ,2765565952.00 ,2740404224.00 ,2743959552.00 ,2770739200.00 ,2765746176.00 ,2742444032.00 ,2620530688.00 ,2748432384.00 ,2771472384.00 ,2735403008.00 ,2765524992.00 ,2739486720.00 ,2768719872.00 ,2758311936.00 ,2773921792.00 ,2744594432.00 ,2585083904.00 ,2767495168.00 ,2759782400.00 ,2782007296.00 ,2719772672.00 ,2780708864.00 ,2717200384.00 ,2755346432.00 ,2764709888.00 ,,208097226752.00 ,,,,
