
22/08/26 15:51:42 INFO client.RMProxy: Connecting to ResourceManager at emr-header-1.cluster-332954/192.168.0.158:8032
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-134.cluster-332954:33765, nodeAddress emr-worker-134.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-145.cluster-332954:38412, nodeAddress emr-worker-145.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-106.cluster-332954:37131, nodeAddress emr-worker-106.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-123.cluster-332954:45505, nodeAddress emr-worker-123.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-40.cluster-332954:34697, nodeAddress emr-worker-40.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-131.cluster-332954:34496, nodeAddress emr-worker-131.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-58.cluster-332954:35519, nodeAddress emr-worker-58.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-122.cluster-332954:34045, nodeAddress emr-worker-122.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-29.cluster-332954:38196, nodeAddress emr-worker-29.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-20.cluster-332954:38286, nodeAddress emr-worker-20.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/26 15:51:42 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-65.cluster-332954:35592, nodeAddress emr-worker-65.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
